id,compartment,metabolite_dcid,metabolic_compartment_dcid
m02634m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1358846,bio/m02634m
m02634p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL1358846,bio/m02634p
m02634r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL1358846,bio/m02634r
m02635c,dcs:CellularCompartmentCytosol,bio/CHEMBL2074693,bio/m02635c
m02635m,dcs:CellularCompartmentMitochondria,bio/CHEMBL2074693,bio/m02635m
m02636c,dcs:CellularCompartmentCytosol,bio/HMDB0006321,bio/m02636c
m02636m,dcs:CellularCompartmentMitochondria,bio/HMDB0006321,bio/m02636m
m02636r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0006321,bio/m02636r
m02637c,dcs:CellularCompartmentCytosol,bio/octadecatrienoylcarnitine,bio/m02637c
m02637m,dcs:CellularCompartmentMitochondria,bio/octadecatrienoylcarnitine,bio/m02637m
m02637r,dcs:CellularCompartmentEndoplasmicReticulum,bio/octadecatrienoylcarnitine,bio/m02637r
m02638c,dcs:CellularCompartmentCytosol,bio/octadecenoylcarnitine(11),bio/m02638c
m02638m,dcs:CellularCompartmentMitochondria,bio/octadecenoylcarnitine(11),bio/m02638m
m02638r,dcs:CellularCompartmentEndoplasmicReticulum,bio/octadecenoylcarnitine(11),bio/m02638r
m02639c,dcs:CellularCompartmentCytosol,bio/HMDB0005065,bio/m02639c
m02639m,dcs:CellularCompartmentMitochondria,bio/HMDB0005065,bio/m02639m
m02639r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0005065,bio/m02639r
m02640c,dcs:CellularCompartmentCytosol,bio/HMDB0006351,bio/m02640c
m02640m,dcs:CellularCompartmentMitochondria,bio/HMDB0006351,bio/m02640m
m02640r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0006351,bio/m02640r
m02641c,dcs:CellularCompartmentCytosol,bio/HMDB0000482,bio/m02641c
m02642c,dcs:CellularCompartmentCytosol,bio/CHEMBL324846,bio/m02642c
m02642s,dcs:CellularCompartmentExtracellular,bio/CHEMBL324846,bio/m02642s
m02643c,dcs:CellularCompartmentCytosol,bio/MNXM979,bio/m02643c
m02644c,dcs:CellularCompartmentCytosol,bio/CHEMBL1949896,bio/m02644c
m02644m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1949896,bio/m02644m
m02644p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL1949896,bio/m02644p
m02645c,dcs:CellularCompartmentCytosol,bio/MNXM7606,bio/m02645c
m02646c,dcs:CellularCompartmentCytosol,bio/CHEMBL8659,bio/m02646c
m02646l,dcs:CellularCompartmentLysosome,bio/CHEMBL8659,bio/m02646l
m02646r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL8659,bio/m02646r
