id,compartment,metabolite_dcid,metabolic_compartment_dcid
m00589c,dcs:CellularCompartmentCytosol,bio/MNXM163661,bio/m00589c
m00590c,dcs:CellularCompartmentCytosol,bio/MNXM164163,bio/m00590c
m00591c,dcs:CellularCompartmentCytosol,bio/CHEMBL4085458,bio/m00591c
m00591s,dcs:CellularCompartmentExtracellular,bio/CHEMBL4085458,bio/m00591s
m00592c,dcs:CellularCompartmentCytosol,bio/CHEMBL173898,bio/m00592c
m00592r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL173898,bio/m00592r
m00593c,dcs:CellularCompartmentCytosol,bio/MNXM166019,bio/m00593c
m00594c,dcs:CellularCompartmentCytosol,bio/HMDB0012638,bio/m00594c
m00595c,dcs:CellularCompartmentCytosol,bio/MNXM164164,bio/m00595c
m00595r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM164164,bio/m00595r
m00596p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012639,bio/m00596p
m00597c,dcs:CellularCompartmentCytosol,bio/MNXM163164,bio/m00597c
m00597r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM163164,bio/m00597r
m00598c,dcs:CellularCompartmentCytosol,bio/MNXM164165,bio/m00598c
m00598r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM164165,bio/m00598r
m00599c,dcs:CellularCompartmentCytosol,bio/CHEMBL1593789,bio/m00599c
m00599m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1593789,bio/m00599m
m00599r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL1593789,bio/m00599r
m00600c,dcs:CellularCompartmentCytosol,bio/MNXM35503,bio/m00600c
m00600m,dcs:CellularCompartmentMitochondria,bio/MNXM35503,bio/m00600m
m00600r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM35503,bio/m00600r
m00601p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012642,bio/m00601p
m00602c,dcs:CellularCompartmentCytosol,bio/HMDB0012643,bio/m00602c
m00602r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0012643,bio/m00602r
m00603c,dcs:CellularCompartmentCytosol,bio/HMDB0004030,bio/m00603c
m00604c,dcs:CellularCompartmentCytosol,bio/CHEMBL1256760,bio/m00604c
m00605c,dcs:CellularCompartmentCytosol,bio/CHEMBL1908012,bio/m00605c
m00606m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1243244,bio/m00606m
m00607c,dcs:CellularCompartmentCytosol,bio/HMDB0060134,bio/m00607c
m00607m,dcs:CellularCompartmentMitochondria,bio/HMDB0060134,bio/m00607m
m00608c,dcs:CellularCompartmentCytosol,bio/HMDB0006720,bio/m00608c
m00608m,dcs:CellularCompartmentMitochondria,bio/HMDB0006720,bio/m00608m
m00609c,dcs:CellularCompartmentCytosol,bio/CHEMBL4213010,bio/m00609c
m00610c,dcs:CellularCompartmentCytosol,bio/CHEMBL171804,bio/m00610c
m00611c,dcs:CellularCompartmentCytosol,bio/HMDB0060129,bio/m00611c
m00611m,dcs:CellularCompartmentMitochondria,bio/HMDB0060129,bio/m00611m
m00612c,dcs:CellularCompartmentCytosol,bio/HMDB0060128,bio/m00612c
m00612m,dcs:CellularCompartmentMitochondria,bio/HMDB0060128,bio/m00612m
m00613c,dcs:CellularCompartmentCytosol,bio/MNXM6764,bio/m00613c
m00613m,dcs:CellularCompartmentMitochondria,bio/MNXM6764,bio/m00613m
m00613s,dcs:CellularCompartmentExtracellular,bio/MNXM6764,bio/m00613s
m00614c,dcs:CellularCompartmentCytosol,bio/HMDB0002159,bio/m00614c
m00614p,dcs:CellularCompartmentPeroxisome,bio/HMDB0002159,bio/m00614p
m00614r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0002159,bio/m00614r
m00615c,dcs:CellularCompartmentCytosol,bio/HMDB0006890,bio/m00615c
m00615p,dcs:CellularCompartmentPeroxisome,bio/HMDB0006890,bio/m00615p
m00616c,dcs:CellularCompartmentCytosol,bio/HMDB0060305,bio/m00616c
m00616m,dcs:CellularCompartmentMitochondria,bio/HMDB0060305,bio/m00616m
m00616p,dcs:CellularCompartmentPeroxisome,bio/HMDB0060305,bio/m00616p
m00616r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0060305,bio/m00616r
m00617p,dcs:CellularCompartmentPeroxisome,bio/HMDB0060306,bio/m00617p
m00618m,dcs:CellularCompartmentMitochondria,bio/MNXM1201,bio/m00618m
m00618p,dcs:CellularCompartmentPeroxisome,bio/MNXM1201,bio/m00618p
m00619r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0006247,bio/m00619r
m00620c,dcs:CellularCompartmentCytosol,bio/HMDB0001438,bio/m00620c
m00620m,dcs:CellularCompartmentMitochondria,bio/HMDB0001438,bio/m00620m
m00620s,dcs:CellularCompartmentExtracellular,bio/HMDB0001438,bio/m00620s
m00621c,dcs:CellularCompartmentCytosol,bio/HMDB0060127,bio/m00621c
m00621m,dcs:CellularCompartmentMitochondria,bio/HMDB0060127,bio/m00621m
m00622c,dcs:CellularCompartmentCytosol,bio/HMDB0060126,bio/m00622c
m00622m,dcs:CellularCompartmentMitochondria,bio/HMDB0060126,bio/m00622m
m00623c,dcs:CellularCompartmentCytosol,bio/HMDB0002103,bio/m00623c
m00623m,dcs:CellularCompartmentMitochondria,bio/HMDB0002103,bio/m00623m
m00623r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0002103,bio/m00623r
m00624c,dcs:CellularCompartmentCytosol,bio/MNXM166031,bio/m00624c
m00625c,dcs:CellularCompartmentCytosol,bio/HMDB0002103,bio/m00625c
m00625m,dcs:CellularCompartmentMitochondria,bio/HMDB0002103,bio/m00625m
m00626c,dcs:CellularCompartmentCytosol,bio/HMDB0011148,bio/m00626c
m00626s,dcs:CellularCompartmentExtracellular,bio/HMDB0011148,bio/m00626s
m00627c,dcs:CellularCompartmentCytosol,bio/HMDB0011155,bio/m00627c
m00628c,dcs:CellularCompartmentCytosol,bio/MNXM32703,bio/m00628c
m00629c,dcs:CellularCompartmentCytosol,bio/HMDB0001330,bio/m00629c
m00630m,dcs:CellularCompartmentMitochondria,bio/HMDB0060273,bio/m00630m
m00631c,dcs:CellularCompartmentCytosol,bio/HMDB0001263,bio/m00631c
m00631m,dcs:CellularCompartmentMitochondria,bio/HMDB0001263,bio/m00631m
m00632c,dcs:CellularCompartmentCytosol,bio/CHEMBL1321977,bio/m00632c
m00633c,dcs:CellularCompartmentCytosol,bio/HMDB0001280,bio/m00633c
m00634c,dcs:CellularCompartmentCytosol,bio/HMDB0001241,bio/m00634c
m00635c,dcs:CellularCompartmentCytosol,bio/CHEMBL122972,bio/m00635c
m00636c,dcs:CellularCompartmentCytosol,bio/HMDB0060344,bio/m00636c
m00637c,dcs:CellularCompartmentCytosol,bio/CHEMBL186007,bio/m00637c
m00638c,dcs:CellularCompartmentCytosol,bio/HMDB0004067,bio/m00638c
m00639c,dcs:CellularCompartmentCytosol,bio/HMDB0001351,bio/m00639c
m00640c,dcs:CellularCompartmentCytosol,bio/HMDB0001031,bio/m00640c
m00641c,dcs:CellularCompartmentCytosol,bio/MNXM163147,bio/m00641c
m00641m,dcs:CellularCompartmentMitochondria,bio/MNXM163147,bio/m00641m
m00641p,dcs:CellularCompartmentPeroxisome,bio/MNXM163147,bio/m00641p
m00641r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM163147,bio/m00641r
m00642c,dcs:CellularCompartmentCytosol,bio/MNXM163148,bio/m00642c
m00642m,dcs:CellularCompartmentMitochondria,bio/MNXM163148,bio/m00642m
m00642p,dcs:CellularCompartmentPeroxisome,bio/MNXM163148,bio/m00642p
m00642r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM163148,bio/m00642r
m00643c,dcs:CellularCompartmentCytosol,bio/CHEMBL4463181,bio/m00643c
m00644c,dcs:CellularCompartmentCytosol,bio/MNXM165923,bio/m00644c
m00645c,dcs:CellularCompartmentCytosol,bio/HMDB0011195,bio/m00645c
m00646c,dcs:CellularCompartmentCytosol,bio/HMDB0006938,bio/m00646c
m00647c,dcs:CellularCompartmentCytosol,bio/CHEMBL4573909,bio/m00647c
m00648c,dcs:CellularCompartmentCytosol,bio/CHEMBL567588,bio/m00648c
m00648s,dcs:CellularCompartmentExtracellular,bio/CHEMBL567588,bio/m00648s
m00649c,dcs:CellularCompartmentCytosol,bio/CHEMBL467987,bio/m00649c
m00649l,dcs:CellularCompartmentLysosome,bio/CHEMBL467987,bio/m00649l
m00649r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL467987,bio/m00649r
m00650c,dcs:CellularCompartmentCytosol,bio/CHEMBL1627343,bio/m00650c
m00650l,dcs:CellularCompartmentLysosome,bio/CHEMBL1627343,bio/m00650l
m00650r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL1627343,bio/m00650r
m00651c,dcs:CellularCompartmentCytosol,bio/HMDB0012623,bio/m00651c
m00651m,dcs:CellularCompartmentMitochondria,bio/HMDB0012623,bio/m00651m
m00651p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012623,bio/m00651p
m00651r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0012623,bio/m00651r
m00652c,dcs:CellularCompartmentCytosol,bio/HMDB0012624,bio/m00652c
m00652m,dcs:CellularCompartmentMitochondria,bio/HMDB0012624,bio/m00652m
m00652p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012624,bio/m00652p
m00652r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0012624,bio/m00652r
m00653c,dcs:CellularCompartmentCytosol,bio/HMDB0059655,bio/m00653c
m00654c,dcs:CellularCompartmentCytosol,bio/CHEMBL240714,bio/m00654c
m00655p,dcs:CellularCompartmentPeroxisome,bio/HMDB0001295,bio/m00655p
m00656c,dcs:CellularCompartmentCytosol,bio/HMDB0013122,bio/m00656c
m00656l,dcs:CellularCompartmentLysosome,bio/HMDB0013122,bio/m00656l
m00656r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0013122,bio/m00656r
m00657m,dcs:CellularCompartmentMitochondria,bio/HMDB0060250,bio/m00657m
m00658m,dcs:CellularCompartmentMitochondria,bio/HMDB0062197,bio/m00658m
m00659c,dcs:CellularCompartmentCytosol,bio/CHEMBL299613,bio/m00659c
m00660c,dcs:CellularCompartmentCytosol,bio/CHEMBL425194,bio/m00660c
m00660r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL425194,bio/m00660r
m00661c,dcs:CellularCompartmentCytosol,bio/HMDB0001172,bio/m00661c
m00661m,dcs:CellularCompartmentMitochondria,bio/HMDB0001172,bio/m00661m
m00662m,dcs:CellularCompartmentMitochondria,bio/HMDB0001157,bio/m00662m
m00663m,dcs:CellularCompartmentMitochondria,bio/HMDB0001041,bio/m00663m
m00664m,dcs:CellularCompartmentMitochondria,bio/HMDB0000339,bio/m00664m
m00665c,dcs:CellularCompartmentCytosol,bio/HMDB0000379,bio/m00665c
m00665s,dcs:CellularCompartmentExtracellular,bio/HMDB0000379,bio/m00665s
m00666m,dcs:CellularCompartmentMitochondria,bio/HMDB0002266,bio/m00666m
m00667m,dcs:CellularCompartmentMitochondria,bio/MNXM164152,bio/m00667m
m00668c,dcs:CellularCompartmentCytosol,bio/CHEMBL14126,bio/m00668c
m00669c,dcs:CellularCompartmentCytosol,bio/HMDB0000491,bio/m00669c
m00669m,dcs:CellularCompartmentMitochondria,bio/HMDB0000491,bio/m00669m
m00670c,dcs:CellularCompartmentCytosol,bio/HMDB0000225,bio/m00670c
m00670m,dcs:CellularCompartmentMitochondria,bio/HMDB0000225,bio/m00670m
m00671c,dcs:CellularCompartmentCytosol,bio/CHEMBL171246,bio/m00671c
m00671m,dcs:CellularCompartmentMitochondria,bio/CHEMBL171246,bio/m00671m
m00672c,dcs:CellularCompartmentCytosol,bio/HMDB0001552,bio/m00672c
m00672m,dcs:CellularCompartmentMitochondria,bio/HMDB0001552,bio/m00672m
m00673c,dcs:CellularCompartmentCytosol,bio/CHEMBL347645,bio/m00673c
m00674c,dcs:CellularCompartmentCytosol,bio/HMDB0003391,bio/m00674c
m00675c,dcs:CellularCompartmentCytosol,bio/CHEMBL47181,bio/m00675c
m00676c,dcs:CellularCompartmentCytosol,bio/HMDB0062198,bio/m00676c
m00677c,dcs:CellularCompartmentCytosol,bio/CHEMBL3120646,bio/m00677c
m00678m,dcs:CellularCompartmentMitochondria,bio/HMDB0062344,bio/m00678m
m00678p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062344,bio/m00678p
m00679c,dcs:CellularCompartmentCytosol,bio/HMDB0060197,bio/m00679c
m00680c,dcs:CellularCompartmentCytosol,bio/HMDB0060218,bio/m00680c
m00681c,dcs:CellularCompartmentCytosol,bio/HMDB0060224,bio/m00681c
m00682m,dcs:CellularCompartmentMitochondria,bio/2-trans-cis_cis_cis_cis-4_8_11_14-eicosapentaenoyl-CoA,bio/m00682m
m00682p,dcs:CellularCompartmentPeroxisome,bio/2-trans-cis_cis_cis_cis-4_8_11_14-eicosapentaenoyl-CoA,bio/m00682p
m00683c,dcs:CellularCompartmentCytosol,bio/MNXM6083,bio/m00683c
m00684c,dcs:CellularCompartmentCytosol,bio/CHEMBL116212,bio/m00684c
m00685p,dcs:CellularCompartmentPeroxisome,bio/3(R)-hydroxy-(2S_6R_10)-trimethyl-hendecanoyl-CoA,bio/m00685p
m00686p,dcs:CellularCompartmentPeroxisome,bio/3(R)-hydroxy-(4R_8R_12R)-trimethyl-tridecanoyl-CoA,bio/m00686p
m00687m,dcs:CellularCompartmentMitochondria,bio/MNXM161244,bio/m00687m
m00687p,dcs:CellularCompartmentPeroxisome,bio/MNXM161244,bio/m00687p
m00688m,dcs:CellularCompartmentMitochondria,bio/MNXM162894,bio/m00688m
m00688p,dcs:CellularCompartmentPeroxisome,bio/MNXM162894,bio/m00688p
m00689m,dcs:CellularCompartmentMitochondria,bio/MNXM162895,bio/m00689m
m00689p,dcs:CellularCompartmentPeroxisome,bio/MNXM162895,bio/m00689p
m00690m,dcs:CellularCompartmentMitochondria,bio/MNXM162896,bio/m00690m
m00690p,dcs:CellularCompartmentPeroxisome,bio/MNXM162896,bio/m00690p
m00691m,dcs:CellularCompartmentMitochondria,bio/HMDB0062199,bio/m00691m
m00691p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062199,bio/m00691p
m00692m,dcs:CellularCompartmentMitochondria,bio/3(S)_6(R)-dihydroxy-tetradec-(8Z)-enoate,bio/m00692m
m00693m,dcs:CellularCompartmentMitochondria,bio/3(S)_6(S)-dihydroxy-tetradec-(8Z)-enoate,bio/m00693m
m00694m,dcs:CellularCompartmentMitochondria,bio/3(S)_8(R)-dihydroxy-(6E_10Z)-hexadecadienoate,bio/m00694m
m00695m,dcs:CellularCompartmentMitochondria,bio/3(S)_8(S)-dihydroxy-(6E_10Z)-hexadecadienoate,bio/m00695m
m00696m,dcs:CellularCompartmentMitochondria,bio/MNXM166068,bio/m00696m
m00696p,dcs:CellularCompartmentPeroxisome,bio/MNXM166068,bio/m00696p
m00697m,dcs:CellularCompartmentMitochondria,bio/3(S)-hydroxy-(6Z_9Z_12Z)-octadecatrienoyl-CoA,bio/m00697m
m00697p,dcs:CellularCompartmentPeroxisome,bio/3(S)-hydroxy-(6Z_9Z_12Z)-octadecatrienoyl-CoA,bio/m00697p
m00698c,dcs:CellularCompartmentCytosol,bio/HMDB0060214,bio/m00698c
m00699c,dcs:CellularCompartmentCytosol,bio/3(S)-hydroxy-11-cis-docosenoyl-CoA,bio/m00699c
m00700c,dcs:CellularCompartmentCytosol,bio/MNXM163172,bio/m00700c
m00700m,dcs:CellularCompartmentMitochondria,bio/MNXM163172,bio/m00700m
m00700p,dcs:CellularCompartmentPeroxisome,bio/MNXM163172,bio/m00700p
m00701c,dcs:CellularCompartmentCytosol,bio/MNXM163173,bio/m00701c
m00701m,dcs:CellularCompartmentMitochondria,bio/MNXM163173,bio/m00701m
m00701p,dcs:CellularCompartmentPeroxisome,bio/MNXM163173,bio/m00701p
m00702c,dcs:CellularCompartmentCytosol,bio/MNXM164331,bio/m00702c
m00702m,dcs:CellularCompartmentMitochondria,bio/MNXM164331,bio/m00702m
m00702p,dcs:CellularCompartmentPeroxisome,bio/MNXM164331,bio/m00702p
m00703m,dcs:CellularCompartmentMitochondria,bio/HMDB0060157,bio/m00703m
m00704c,dcs:CellularCompartmentCytosol,bio/MNXM91381,bio/m00704c
m00705m,dcs:CellularCompartmentMitochondria,bio/HMDB0060161,bio/m00705m
m00706m,dcs:CellularCompartmentMitochondria,bio/HMDB0060135,bio/m00706m
m00707c,dcs:CellularCompartmentCytosol,bio/3(S)-hydroxy-9-cis-eicosenoyl-CoA,bio/m00707c
m00708c,dcs:CellularCompartmentCytosol,bio/MNXM7114,bio/m00708c
m00709c,dcs:CellularCompartmentCytosol,bio/MNXM163174,bio/m00709c
m00709p,dcs:CellularCompartmentPeroxisome,bio/MNXM163174,bio/m00709p
m00710c,dcs:CellularCompartmentCytosol,bio/3(S)-hydroxy-dihomo-gamma-linolenoyl-CoA,bio/m00710c
m00710m,dcs:CellularCompartmentMitochondria,bio/3(S)-hydroxy-dihomo-gamma-linolenoyl-CoA,bio/m00710m
m00710p,dcs:CellularCompartmentPeroxisome,bio/3(S)-hydroxy-dihomo-gamma-linolenoyl-CoA,bio/m00710p
m00711c,dcs:CellularCompartmentCytosol,bio/HMDB0060210,bio/m00711c
m00712c,dcs:CellularCompartmentCytosol,bio/3(S)-hydroxy-docosa-13_16_19-all-cis-trienoyl-CoA,bio/m00712c
m00713c,dcs:CellularCompartmentCytosol,bio/HMDB0060205,bio/m00713c
m00714c,dcs:CellularCompartmentCytosol,bio/HMDB0060212,bio/m00714c
m00715c,dcs:CellularCompartmentCytosol,bio/3(S)-hydroxy-hexacosenoyl-CoA,bio/m00715c
m00715p,dcs:CellularCompartmentPeroxisome,bio/3(S)-hydroxy-hexacosenoyl-CoA,bio/m00715p
m00716c,dcs:CellularCompartmentCytosol,bio/HMDB0060234,bio/m00716c
m00717p,dcs:CellularCompartmentPeroxisome,bio/HMDB0060230,bio/m00717p
m00718c,dcs:CellularCompartmentCytosol,bio/HMDB0060227,bio/m00718c
m00719c,dcs:CellularCompartmentCytosol,bio/HMDB0000687,bio/m00719c
m00719r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0000687,bio/m00719r
m00720c,dcs:CellularCompartmentCytosol,bio/MNXM1986,bio/m00720c
m00720r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM1986,bio/m00720r
m00721c,dcs:CellularCompartmentCytosol,bio/MNXM164192,bio/m00721c
m00722c,dcs:CellularCompartmentCytosol,bio/MNXM166076,bio/m00722c
m00722r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM166076,bio/m00722r
m00723c,dcs:CellularCompartmentCytosol,bio/3_4-dihydro-1_4-benzothiazine-3-carboxylate,bio/m00723c
m00724c,dcs:CellularCompartmentCytosol,bio/HMDB0060381,bio/m00724c
m00725m,dcs:CellularCompartmentMitochondria,bio/HMDB0062204,bio/m00725m
m00726c,dcs:CellularCompartmentCytosol,bio/HMDB0006242,bio/m00726c
m00727c,dcs:CellularCompartmentCytosol,bio/HMDB0001866,bio/m00727c
m00728c,dcs:CellularCompartmentCytosol,bio/HMDB0003791,bio/m00728c
m00729c,dcs:CellularCompartmentCytosol,bio/CHEMBL1284,bio/m00729c
m00730c,dcs:CellularCompartmentCytosol,bio/HMDB0000318,bio/m00730c
m00730s,dcs:CellularCompartmentExtracellular,bio/HMDB0000318,bio/m00730s
m00731c,dcs:CellularCompartmentCytosol,bio/HMDB0060286,bio/m00731c
m00732c,dcs:CellularCompartmentCytosol,bio/MNXM166090,bio/m00732c
m00732r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM166090,bio/m00732r
m00733c,dcs:CellularCompartmentCytosol,bio/MNXM166093,bio/m00733c
m00733r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM166093,bio/m00733r
m00734c,dcs:CellularCompartmentCytosol,bio/CHEMBL2074889,bio/m00734c
m00734s,dcs:CellularCompartmentExtracellular,bio/CHEMBL2074889,bio/m00734s
m00735c,dcs:CellularCompartmentCytosol,bio/HMDB0062347,bio/m00735c
m00736c,dcs:CellularCompartmentCytosol,bio/MNXM9935,bio/m00736c
m00736r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9935,bio/m00736r
m00737c,dcs:CellularCompartmentCytosol,bio/HMDB0060075,bio/m00737c
m00738c,dcs:CellularCompartmentCytosol,bio/HMDB0060110,bio/m00738c
m00738r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0060110,bio/m00738r
m00739c,dcs:CellularCompartmentCytosol,bio/CHEMBL1236469,bio/m00739c
m00740m,dcs:CellularCompartmentMitochondria,bio/MNXM162898,bio/m00740m
m00740p,dcs:CellularCompartmentPeroxisome,bio/MNXM162898,bio/m00740p
m00741m,dcs:CellularCompartmentMitochondria,bio/MNXM162899,bio/m00741m
m00741p,dcs:CellularCompartmentPeroxisome,bio/MNXM162899,bio/m00741p
m00742c,dcs:CellularCompartmentCytosol,bio/MNXM3475,bio/m00742c
m00742m,dcs:CellularCompartmentMitochondria,bio/MNXM3475,bio/m00742m
m00743c,dcs:CellularCompartmentCytosol,bio/MNXM89890,bio/m00743c
m00743p,dcs:CellularCompartmentPeroxisome,bio/MNXM89890,bio/m00743p
m00744c,dcs:CellularCompartmentCytosol,bio/MNXM8082,bio/m00744c
m00744g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM8082,bio/m00744g
m00744s,dcs:CellularCompartmentExtracellular,bio/MNXM8082,bio/m00744s
m00745c,dcs:CellularCompartmentCytosol,bio/CHEMBL406393,bio/m00745c
m00745r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL406393,bio/m00745r
m00746m,dcs:CellularCompartmentMitochondria,bio/HMDB0062206,bio/m00746m
m00747r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0060137,bio/m00747r
m00748m,dcs:CellularCompartmentMitochondria,bio/HMDB0006891,bio/m00748m
m00748p,dcs:CellularCompartmentPeroxisome,bio/HMDB0006891,bio/m00748p
m00749m,dcs:CellularCompartmentMitochondria,bio/HMDB0006889,bio/m00749m
m00749p,dcs:CellularCompartmentPeroxisome,bio/HMDB0006889,bio/m00749p
m00750c,dcs:CellularCompartmentCytosol,bio/HMDB0003533,bio/m00750c
m00750m,dcs:CellularCompartmentMitochondria,bio/HMDB0003533,bio/m00750m
m00751m,dcs:CellularCompartmentMitochondria,bio/HMDB0003533,bio/m00751m
m00752c,dcs:CellularCompartmentCytosol,bio/HMDB0062207,bio/m00752c
m00752m,dcs:CellularCompartmentMitochondria,bio/HMDB0062207,bio/m00752m
m00752p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062207,bio/m00752p
m00752r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062207,bio/m00752r
m00753m,dcs:CellularCompartmentMitochondria,bio/HMDB0062208,bio/m00753m
m00754p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062209,bio/m00754p
m00755p,dcs:CellularCompartmentPeroxisome,bio/HMDB0006895,bio/m00755p
m00756c,dcs:CellularCompartmentCytosol,bio/HMDB0006894,bio/m00756c
m00756m,dcs:CellularCompartmentMitochondria,bio/HMDB0006894,bio/m00756m
m00757m,dcs:CellularCompartmentMitochondria,bio/HMDB0006894,bio/m00757m
m00758c,dcs:CellularCompartmentCytosol,bio/HMDB0000359,bio/m00758c
m00758m,dcs:CellularCompartmentMitochondria,bio/HMDB0000359,bio/m00758m
m00758p,dcs:CellularCompartmentPeroxisome,bio/HMDB0000359,bio/m00758p
m00758r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0000359,bio/m00758r
m00759c,dcs:CellularCompartmentCytosol,bio/CHEMBL207538,bio/m00759c
m00760c,dcs:CellularCompartmentCytosol,bio/HMDB0062210,bio/m00760c
m00761m,dcs:CellularCompartmentMitochondria,bio/HMDB0012454,bio/m00761m
m00762g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM147451,bio/m00762g
m00763m,dcs:CellularCompartmentMitochondria,bio/HMDB0060131,bio/m00763m
m00764m,dcs:CellularCompartmentMitochondria,bio/MNXM163195,bio/m00764m
m00765m,dcs:CellularCompartmentMitochondria,bio/HMDB0006744,bio/m00765m
m00766c,dcs:CellularCompartmentCytosol,bio/HMDB0062349,bio/m00766c
m00766m,dcs:CellularCompartmentMitochondria,bio/HMDB0062349,bio/m00766m
m00767m,dcs:CellularCompartmentMitochondria,bio/MNXM3838,bio/m00767m
m00768c,dcs:CellularCompartmentCytosol,bio/HMDB0006334,bio/m00768c
m00769c,dcs:CellularCompartmentCytosol,bio/HMDB0001480,bio/m00769c
m00770m,dcs:CellularCompartmentMitochondria,bio/HMDB0062350,bio/m00770m
m00771c,dcs:CellularCompartmentCytosol,bio/HMDB0000425,bio/m00771c
m00771s,dcs:CellularCompartmentExtracellular,bio/HMDB0000425,bio/m00771s
m00772c,dcs:CellularCompartmentCytosol,bio/MNXM9850,bio/m00772c
m00773m,dcs:CellularCompartmentMitochondria,bio/HMDB0004601,bio/m00773m
m00773p,dcs:CellularCompartmentPeroxisome,bio/HMDB0004601,bio/m00773p
m00774c,dcs:CellularCompartmentCytosol,bio/MNXM6090,bio/m00774c
m00775c,dcs:CellularCompartmentCytosol,bio/CHEMBL445304,bio/m00775c
m00776c,dcs:CellularCompartmentCytosol,bio/HMDB0060216,bio/m00776c
m00776m,dcs:CellularCompartmentMitochondria,bio/HMDB0060216,bio/m00776m
m00776p,dcs:CellularCompartmentPeroxisome,bio/HMDB0060216,bio/m00776p
m00777c,dcs:CellularCompartmentCytosol,bio/HMDB0060191,bio/m00777c
m00777m,dcs:CellularCompartmentMitochondria,bio/HMDB0060191,bio/m00777m
m00777p,dcs:CellularCompartmentPeroxisome,bio/HMDB0060191,bio/m00777p
m00778c,dcs:CellularCompartmentCytosol,bio/3-hydroxyheneicosanoyl-CoA,bio/m00778c
m00778m,dcs:CellularCompartmentMitochondria,bio/3-hydroxyheneicosanoyl-CoA,bio/m00778m
m00779c,dcs:CellularCompartmentCytosol,bio/3-hydroxyheptadecanoyl-[ACP],bio/m00779c
m00780m,dcs:CellularCompartmentMitochondria,bio/3-hydroxyheptadecanoyl-CoA,bio/m00780m
m00781c,dcs:CellularCompartmentCytosol,bio/3-hydroxyheptanoyl-[ACP],bio/m00781c
m00782m,dcs:CellularCompartmentMitochondria,bio/MNXM147785,bio/m00782m
m00783c,dcs:CellularCompartmentCytosol,bio/HMDB0062351,bio/m00783c
m00783p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062351,bio/m00783p
m00784m,dcs:CellularCompartmentMitochondria,bio/HMDB0000023,bio/m00784m
m00785m,dcs:CellularCompartmentMitochondria,bio/MNXM1034,bio/m00785m
m00786c,dcs:CellularCompartmentCytosol,bio/HMDB0060281,bio/m00786c
m00787c,dcs:CellularCompartmentCytosol,bio/MNXM163184,bio/m00787c
m00788c,dcs:CellularCompartmentCytosol,bio/CHEMBL4071755,bio/m00788c
m00789c,dcs:CellularCompartmentCytosol,bio/HMDB0001422,bio/m00789c
m00790c,dcs:CellularCompartmentCytosol,bio/3-hydroxynonadecanoyl-CoA,bio/m00790c
m00790m,dcs:CellularCompartmentMitochondria,bio/3-hydroxynonadecanoyl-CoA,bio/m00790m
m00791c,dcs:CellularCompartmentCytosol,bio/3-hydroxynonanoyl-[ACP],bio/m00791c
m00792m,dcs:CellularCompartmentMitochondria,bio/3-hydroxynonanoyl-CoA,bio/m00792m
