reactionID,hm_38_gene,hm_19_gene
bio/HMR_0730,bio/hg38_PPM1L,bio/hg19_PPM1L
bio/HMR_4856,bio/hg38_SLC37A4,bio/hg19_SLC37A4
bio/HMR_6386,bio/hg38_SLC37A4,bio/hg19_SLC37A4
bio/PIter,bio/hg38_SLC37A4,bio/hg19_SLC37A4
bio/HMR_4880,bio/hg38_SLC35D1,bio/hg19_SLC35D1
bio/HMR_8369,bio/hg38_SLC35D1,bio/hg19_SLC35D1
bio/HMR_9200,bio/hg38_SLC39A7,bio/hg19_SLC39A7
bio/HMR_0031,bio/hg38_PLIN3,bio/hg19_PLIN3
bio/HMR_0031,bio/hg38_FITM1,bio/hg19_FITM1
bio/HMR_0031,bio/hg38_PLIN4,bio/hg19_PLIN4
bio/HMR_0031,bio/hg38_BSCL2,bio/hg19_BSCL2
bio/HMR_0031,bio/hg38_FITM2,bio/hg19_FITM2
bio/ATPasel,bio/hg38_ATP6V0E1,bio/hg19_ATP6V0E1
bio/ATPasel,bio/hg38_ATP6V0E1,bio/hg19_ATP6V0E1
bio/ATPasel,bio/hg38_ATP6V0E1,bio/hg19_ATP6V0E1
bio/ATPasel,bio/hg38_ATP6V0E1,bio/hg19_ATP6V0E1
bio/ATPasel,bio/hg38_ATP6V0E1,bio/hg19_ATP6V0E1
bio/ATPasel,bio/hg38_ATP6V0E1,bio/hg19_ATP6V0E1
bio/ATPasel,bio/hg38_ATP6V0E1,bio/hg19_ATP6V0E1
bio/ATPasel,bio/hg38_ATP6V0E1,bio/hg19_ATP6V0E1
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
