ensemblID,systemsBiologyOntologyTerm,hm_38_gene,hm_19_gene
ENSG00000153574,"""SBO:0000243""",bio/hg38_RPIA,bio/hg19_RPIA
ENSG00000153707,"""SBO:0000243""",bio/hg38_PTPRD,bio/hg19_PTPRD
ENSG00000153786,"""SBO:0000243""",bio/hg38_ZDHHC7,bio/hg19_ZDHHC7
ENSG00000153827,"""SBO:0000243""",bio/hg38_TRIP12,bio/hg19_TRIP12
ENSG00000153904,"""SBO:0000243""",bio/hg38_DDAH1,bio/hg19_DDAH1
ENSG00000153933,"""SBO:0000243""",bio/hg38_DGKE,bio/hg19_DGKE
ENSG00000153936,"""SBO:0000243""",bio/hg38_HS2ST1,bio/hg19_HS2ST1
ENSG00000153976,"""SBO:0000243""",bio/hg38_HS3ST3A1,bio/hg19_HS3ST3A1
ENSG00000154025,"""SBO:0000243""",bio/hg38_SLC5A10,bio/hg19_SLC5A10
ENSG00000154027,"""SBO:0000243""",bio/hg38_AK5,bio/hg19_AK5
ENSG00000154080,"""SBO:0000243""",bio/hg38_CHST9,bio/hg19_CHST9
ENSG00000154227,"""SBO:0000243""",bio/hg38_CERS3,bio/hg19_CERS3
ENSG00000154229,"""SBO:0000243""",bio/hg38_PRKCA,bio/hg19_PRKCA
ENSG00000154237,"""SBO:0000243""",bio/hg38_LRRK1,bio/hg19_LRRK1
ENSG00000154252,"""SBO:0000243""",bio/hg38_GAL3ST2,bio/hg19_GAL3ST2
ENSG00000154269,"""SBO:0000243""",bio/hg38_ENPP3,bio/hg19_ENPP3
ENSG00000154305,"""SBO:0000243""",bio/hg38_MIA3,bio/hg19_MIA3
ENSG00000154310,"""SBO:0000243""",bio/hg38_TNIK,bio/hg19_TNIK
ENSG00000154330,"""SBO:0000243""",bio/hg38_PGM5,bio/hg19_PGM5
ENSG00000154370,"""SBO:0000243""",bio/hg38_TRIM11,bio/hg19_TRIM11
ENSG00000154415,"""SBO:0000243""",bio/hg38_PPP1R3A,bio/hg19_PPP1R3A
ENSG00000154447,"""SBO:0000243""",bio/hg38_SH3RF1,bio/hg19_SH3RF1
ENSG00000154518,"""SBO:0000243""",bio/hg38_ATP5MC3,bio/hg19_ATP5MC3
ENSG00000154678,"""SBO:0000243""",bio/hg38_PDE1C,bio/hg19_PDE1C
ENSG00000154723,"""SBO:0000243""",bio/hg38_ATP5PF,bio/hg19_ATP5PF
ENSG00000154822,"""SBO:0000243""",bio/hg38_PLCL2,bio/hg19_PLCL2
ENSG00000154914,"""SBO:0000243""",bio/hg38_USP43,bio/hg19_USP43
ENSG00000154928,"""SBO:0000243""",bio/hg38_EPHB1,bio/hg19_EPHB1
ENSG00000154930,"""SBO:0000243""",bio/hg38_ACSS1,bio/hg19_ACSS1
ENSG00000155016,"""SBO:0000243""",bio/hg38_CYP2U1,bio/hg19_CYP2U1
ENSG00000155085,"""SBO:0000243""",bio/hg38_AK9,bio/hg19_AK9
ENSG00000155093,"""SBO:0000243""",bio/hg38_PTPRN2,bio/hg19_PTPRN2
ENSG00000155097,"""SBO:0000243""",bio/hg38_ATP6V1C1,bio/hg19_ATP6V1C1
ENSG00000155099,"""SBO:0000243""",bio/hg38_PIP4P2,bio/hg19_PIP4P2
ENSG00000155111,"""SBO:0000243""",bio/hg38_CDK19,bio/hg19_CDK19
ENSG00000155189,"""SBO:0000243""",bio/hg38_AGPAT5,bio/hg19_AGPAT5
ENSG00000155252,"""SBO:0000243""",bio/hg38_PI4K2A,bio/hg19_PI4K2A
ENSG00000155287,"""SBO:0000243""",bio/hg38_SLC25A28,bio/hg19_SLC25A28
ENSG00000155313,"""SBO:0000243""",bio/hg38_USP25,bio/hg19_USP25
ENSG00000155368,"""SBO:0000243""",bio/hg38_DBI,bio/hg19_DBI
ENSG00000155380,"""SBO:0000243""",bio/hg38_SLC16A1,bio/hg19_SLC16A1
ENSG00000155465,"""SBO:0000243""",bio/hg38_SLC7A7,bio/hg19_SLC7A7
ENSG00000155561,"""SBO:0000243""",bio/hg38_NUP205,bio/hg19_NUP205
ENSG00000155657,"""SBO:0000243""",bio/hg38_TTN,bio/hg19_TTN
ENSG00000155660,"""SBO:0000243""",bio/hg38_PDIA4,bio/hg19_PDIA4
ENSG00000155827,"""SBO:0000243""",bio/hg38_RNF20,bio/hg19_RNF20
ENSG00000155850,"""SBO:0000243""",bio/hg38_SLC26A2,bio/hg19_SLC26A2
ENSG00000155886,"""SBO:0000243""",bio/hg38_SLC24A2,bio/hg19_SLC24A2
ENSG00000155893,"""SBO:0000243""",bio/hg38_PXYLP1,bio/hg19_PXYLP1
ENSG00000155897,"""SBO:0000243""",bio/hg38_ADCY8,bio/hg19_ADCY8
ENSG00000156006,"""SBO:0000243""",bio/hg38_NAT2,bio/hg19_NAT2
ENSG00000156096,"""SBO:0000243""",bio/hg38_UGT2B4,bio/hg19_UGT2B4
ENSG00000156110,"""SBO:0000243""",bio/hg38_ADK,bio/hg19_ADK
ENSG00000156136,"""SBO:0000243""",bio/hg38_DCK,bio/hg19_DCK
ENSG00000156194,"""SBO:0000243""",bio/hg38_PPEF2,bio/hg19_PPEF2
ENSG00000156219,"""SBO:0000243""",bio/hg38_ART3,bio/hg19_ART3
ENSG00000156222,"""SBO:0000243""",bio/hg38_SLC28A1,bio/hg19_SLC28A1
ENSG00000156239,"""SBO:0000243""",bio/hg38_N6AMT1,bio/hg19_N6AMT1
ENSG00000156256,"""SBO:0000243""",bio/hg38_USP16,bio/hg19_USP16
ENSG00000156269,"""SBO:0000243""",bio/hg38_NAA11,bio/hg19_NAA11
ENSG00000156345,"""SBO:0000243""",bio/hg38_CDK20,bio/hg19_CDK20
ENSG00000156411,"""SBO:0000243""",bio/hg38_ATP5MPL,bio/hg19_ATP5MPL
ENSG00000156413,"""SBO:0000243""",bio/hg38_FUT6,bio/hg19_FUT6
ENSG00000156463,"""SBO:0000243""",bio/hg38_SH3RF2,bio/hg19_SH3RF2
ENSG00000156467,"""SBO:0000243""",bio/hg38_UQCRB,bio/hg19_UQCRB
ENSG00000156471,"""SBO:0000243""",bio/hg38_PTDSS1,bio/hg19_PTDSS1
ENSG00000156475,"""SBO:0000243""",bio/hg38_PPP2R2B,bio/hg19_PPP2R2B
ENSG00000156508,"""SBO:0000243""",bio/hg38_EEF1A1,bio/hg19_EEF1A1
ENSG00000156510,"""SBO:0000243""",bio/hg38_HKDC1,bio/hg19_HKDC1
ENSG00000156515,"""SBO:0000243""",bio/hg38_HK1,bio/hg19_HK1
ENSG00000156587,"""SBO:0000243""",bio/hg38_UBE2L6,bio/hg19_UBE2L6
ENSG00000156599,"""SBO:0000243""",bio/hg38_ZDHHC5,bio/hg19_ZDHHC5
ENSG00000156650,"""SBO:0000243""",bio/hg38_KAT6B,bio/hg19_KAT6B
ENSG00000156689,"""SBO:0000243""",bio/hg38_GLYATL2,bio/hg19_GLYATL2
ENSG00000156711,"""SBO:0000243""",bio/hg38_MAPK13,bio/hg19_MAPK13
ENSG00000156795,"""SBO:0000243""",bio/hg38_NTAQ1,bio/hg19_NTAQ1
ENSG00000156873,"""SBO:0000243""",bio/hg38_PHKG2,bio/hg19_PHKG2
ENSG00000156885,"""SBO:0000243""",bio/hg38_COX6A2,bio/hg19_COX6A2
ENSG00000156958,"""SBO:0000243""",bio/hg38_GALK2,bio/hg19_GALK2
ENSG00000156966,"""SBO:0000243""",bio/hg38_B3GNT7,bio/hg19_B3GNT7
ENSG00000156970,"""SBO:0000243""",bio/hg38_BUB1B,bio/hg19_BUB1B
ENSG00000156973,"""SBO:0000243""",bio/hg38_PDE6D,bio/hg19_PDE6D
ENSG00000156983,"""SBO:0000243""",bio/hg38_BRPF1,bio/hg19_BRPF1
ENSG00000157020,"""SBO:0000243""",bio/hg38_SEC13,bio/hg19_SEC13
ENSG00000157045,"""SBO:0000243""",bio/hg38_NTAN1,bio/hg19_NTAN1
ENSG00000157064,"""SBO:0000243""",bio/hg38_NMNAT2,bio/hg19_NMNAT2
ENSG00000157087,"""SBO:0000243""",bio/hg38_ATP2B2,bio/hg19_ATP2B2
ENSG00000157103,"""SBO:0000243""",bio/hg38_SLC6A1,bio/hg19_SLC6A1
ENSG00000157106,"""SBO:0000243""",bio/hg38_SMG1,bio/hg19_SMG1
ENSG00000157184,"""SBO:0000243""",bio/hg38_CPT2,bio/hg19_CPT2
ENSG00000157326,"""SBO:0000243""",bio/hg38_DHRS4,bio/hg19_DHRS4
ENSG00000157349,"""SBO:0000243""",bio/hg38_DDX19B,bio/hg19_DDX19B
