reactionID,metabolic_compartment_dcid
bio/HMR_0211,bio/m01371c
bio/HMR_0215,bio/m01371c
bio/HMR_0224,bio/m01371c
bio/HMR_0231,bio/m01371c
bio/HMR_0235,bio/m01371c
bio/HMR_0239,bio/m01371c
bio/HMR_0243,bio/m01371c
bio/HMR_0247,bio/m01371c
bio/HMR_0253,bio/m01371c
bio/HMR_0257,bio/m01371c
bio/HMR_0261,bio/m01371c
bio/HMR_0265,bio/m01371c
bio/HMR_0269,bio/m01371c
bio/HMR_0273,bio/m01371c
bio/HMR_0277,bio/m01371c
bio/HMR_0281,bio/m01371c
bio/HMR_0287,bio/m01371c
bio/HMR_0291,bio/m01371c
bio/HMR_0295,bio/m01371c
bio/HMR_0299,bio/m01371c
bio/HMR_0303,bio/m01371c
bio/HMR_0307,bio/m01371c
bio/HMR_0311,bio/m01371c
bio/HMR_0317,bio/m01371c
bio/HMR_0321,bio/m01371c
bio/HMR_0325,bio/m01371c
bio/HMR_0329,bio/m01371c
bio/HMR_0335,bio/m01371c
bio/HMR_0339,bio/m01371c
bio/HMR_0343,bio/m01371c
bio/HMR_0347,bio/m01371c
bio/HMR_0351,bio/m01371c
bio/HMR_0355,bio/m01371c
bio/HMR_0359,bio/m01371c
bio/HMR_0363,bio/m01371c
bio/HMR_0367,bio/m01371c
bio/HMR_0371,bio/m01371c
bio/HMR_0375,bio/m01371c
bio/HMR_0379,bio/m01371c
bio/HMR_0383,bio/m01371c
bio/HMR_0387,bio/m01371c
bio/HMR_0391,bio/m01371c
bio/HMR_0395,bio/m01371c
bio/HMR_0399,bio/m01371c
bio/HMR_0403,bio/m01371c
bio/HMR_0407,bio/m01371c
bio/HMR_0411,bio/m01371c
bio/HMR_0415,bio/m01371c
bio/HMR_0419,bio/m01371c
bio/HMR_0423,bio/m01371c
bio/HMR_0427,bio/m01371c
bio/HMR_0431,bio/m01371c
bio/HMR_0435,bio/m01371c
bio/HMR_0439,bio/m01371c
bio/HMR_0469,bio/m01371c
bio/HMR_0470,bio/m01371c
bio/HMR_0476,bio/m01371c
bio/HMR_1911,bio/m01371c
bio/HMR_1913,bio/m01371c
bio/HMR_3964,bio/m01371c
bio/HMR_5295,bio/m01371c
bio/HMR_5303,bio/m01371c
bio/HMR_5332,bio/m01371c
bio/HMR_5429,bio/m01371c
bio/HMR_5442,bio/m01371c
bio/HMR_5443,bio/m01371c
bio/HMR_5444,bio/m01371c
bio/HMR_5445,bio/m01371c
bio/HMR_5446,bio/m01371c
bio/HMR_6392,bio/m01371c
bio/HMR_6406,bio/m01371c
bio/HMR_7629,bio/m01371c
bio/HMR_7633,bio/m01371c
bio/HMR_7634,bio/m01371c
bio/HMR_7635,bio/m01371c
bio/HMR_7636,bio/m01371c
bio/HMR_7637,bio/m01371c
bio/HMR_7650,bio/m01371c
bio/HMR_7667,bio/m01371c
bio/HMR_7679,bio/m01371c
bio/HMR_7681,bio/m01371c
bio/HMR_7691,bio/m01371c
bio/HMR_7692,bio/m01371c
bio/HMR_7736,bio/m01371c
bio/HMR_7737,bio/m01371c
bio/HMR_7738,bio/m01371c
bio/HMR_7964,bio/m01371c
bio/HMR_7967,bio/m01371c
bio/HMR_7982,bio/m01371c
bio/HMR_7986,bio/m01371c
bio/HMR_7990,bio/m01371c
bio/HMR_8103,bio/m01371c
bio/HMR_8633,bio/m01371c
bio/HMR_8658,bio/m01371c
bio/HMR_8730,bio/m01371c
bio/HMR_8850,bio/m01371c
bio/HMR_8892,bio/m01371c
bio/HMR_8922,bio/m01371c
bio/HMR_8923,bio/m01371c
bio/HMR_8930,bio/m01371c
bio/HMR_8934,bio/m01371c
bio/HMR_8935,bio/m01371c
bio/HMR_4905,bio/m01371c
bio/HMR_3008,bio/m01371c
bio/HMR_3011,bio/m01371c
bio/HMR_3013,bio/m01371c
bio/HMR_3014,bio/m01371c
bio/HMR_3017,bio/m01371c
bio/HMR_3473,bio/m01371c
bio/HMR_7785,bio/m01371c
bio/HMR_7786,bio/m01371c
bio/HMR_4907,bio/m01371c
bio/HMR_7799,bio/m01371c
bio/HMR_6578,bio/m01371c
bio/HMR_8661,bio/m01371c
bio/HMR_4906,bio/m01371c
bio/5HTRPVESSEC,bio/m01371c
bio/ACHVESSEC,bio/m01371c
bio/ADRNLPVESSEC,bio/m01371c
bio/ATPasel,bio/m01371c
bio/BALAVECSEC,bio/m01371c
bio/BTNt3i,bio/m01371c
bio/CAATPS,bio/m01371c
bio/DOPAVESSEC,bio/m01371c
bio/FACOAL1813,bio/m01371c
bio/FACOAL191,bio/m01371c
bio/FACOAL206,bio/m01371c
bio/GABAVESSEC,bio/m01371c
bio/GLYVESSEC,bio/m01371c
bio/HISTAVESSEC,bio/m01371c
bio/HKt,bio/m01371c
bio/KHK3,bio/m01371c
bio/LIPOti,bio/m01371c
bio/MEPIVESSte,bio/m01371c
bio/NMNATr,bio/m01371c
bio/NRPPHRVESSEC,bio/m01371c
bio/PCFLOPm,bio/m01371c
bio/PEFLIP,bio/m01371c
bio/PEFLIPm,bio/m01371c
bio/PNTOt5,bio/m01371c
bio/PSFLIP,bio/m01371c
bio/PSFLIPm,bio/m01371c
bio/r0993,bio/m01371c
bio/r1162,bio/m01371c
bio/r1252,bio/m01371c
bio/r1526,bio/m01371c
bio/r1527,bio/m01371c
bio/r2497,bio/m01371c
bio/r2498,bio/m01371c
bio/RE3075C,bio/m01371c
bio/RE3079C,bio/m01371c
bio/ADPACDAc,bio/m01371c
bio/C12DCACT,bio/m01371c
bio/DCSPTN1COAtxc,bio/m01371c
bio/DOCO13ECOAtxc,bio/m01371c
bio/DOCO13EFATP,bio/m01371c
bio/DOCOSCOAtxc,bio/m01371c
bio/LGNCCOAtcx,bio/m01371c
bio/NRVNCCOAtxc,bio/m01371c
bio/OCT11EFATP,bio/m01371c
bio/PRISTCOAtcx,bio/m01371c
bio/SCP21cx,bio/m01371c
bio/SEBACACT,bio/m01371c
bio/STCOATxc,bio/m01371c
bio/STRDNCCOAtxc,bio/m01371c
bio/SUBERICACT,bio/m01371c
bio/SUCCACT,bio/m01371c
bio/ASCBSVCTtc,bio/m01371c
bio/GALSGLT1le,bio/m01371c
bio/GLCSGLT1le,bio/m01371c
bio/LINOFATPtc,bio/m01371c
bio/OLEICFATPtc,bio/m01371c
bio/PALFATPtc,bio/m01371c
bio/THMATPe,bio/m01371c
bio/VITEtl,bio/m01371c
bio/ARACHFATPc,bio/m01371c
bio/INSK,bio/m01371c
bio/OCDCAFATPc,bio/m01371c
bio/TTDCAFATPc,bio/m01371c
bio/ARACHDFATPtc,bio/m01371c
bio/DHEASABCCte,bio/m01371c
bio/ESTRAABCtc,bio/m01371c
bio/ESTROSABCCte,bio/m01371c
bio/ESTRSABCtc,bio/m01371c
bio/FOLABCCte,bio/m01371c
bio/LEUKABCtc,bio/m01371c
bio/LGNCFATPtc,bio/m01371c
bio/PGLYCABCte,bio/m01371c
bio/PHEMEABCte,bio/m01371c
bio/PSHSABCtc,bio/m01371c
bio/RETABCtc,bio/m01371c
bio/TCHOLABCtc,bio/m01371c
bio/RIBFLVte,bio/m01371c
bio/HMCARNc,bio/m01371c
bio/12HPETATP,bio/m01371c
bio/15HPETATP,bio/m01371c
bio/21HPRGNLONEt1,bio/m01371c
bio/5HPETATP,bio/m01371c
bio/7DHCHSTEROLt,bio/m01371c
bio/C03990ATP,bio/m01371c
bio/C04483t1,bio/m01371c
bio/C04717ATP,bio/m01371c
bio/C04805ATP,bio/m01371c
bio/C05463t1,bio/m01371c
bio/C14768ATP,bio/m01371c
bio/C14769td2,bio/m01371c
bio/C14770ATP,bio/m01371c
bio/C14771ATP,bio/m01371c
bio/C14825ATP,bio/m01371c
bio/C14826ATP,bio/m01371c
bio/CE1243ATP,bio/m01371c
bio/CE1273t1,bio/m01371c
bio/CE1297t,bio/m01371c
bio/CE2445t,bio/m01371c
bio/CE2516t,bio/m01371c
bio/CE2537ATP,bio/m01371c
bio/CE4843t,bio/m01371c
bio/CE6247t,bio/m01371c
bio/CE7082ATP,bio/m01371c
bio/CE7083t,bio/m01371c
bio/CE7172ATP,bio/m01371c
bio/DODECANACt,bio/m01371c
bio/HEXDIACATP,bio/m01371c
bio/LEUKTRB4WCOOHt,bio/m01371c
bio/LEUKTRB4WOHt,bio/m01371c
bio/LTHSTRLABCt,bio/m01371c
bio/TETDECA511ACt,bio/m01371c
bio/THRNTt,bio/m01371c
bio/TXB2t,bio/m01371c
bio/WHARACHDt,bio/m01371c
bio/ESTRIOLATP,bio/m01371c
bio/URSCHOLCOAc,bio/m01371c
bio/HC02195te,bio/m01371c
bio/HC02196te,bio/m01371c
bio/HC02194te,bio/m01371c
bio/HC02220te,bio/m01371c
bio/3MOXTYRESSte,bio/m01371c
bio/GTHOXti2,bio/m01371c
bio/NORMETEVESSte,bio/m01371c
bio/DHCHOLESTANATEATP,bio/m01371c
bio/THCHOLSTOICATP,bio/m01371c
bio/XOL7AH3ATP,bio/m01371c
bio/XOL7AONEATP,bio/m01371c
bio/XOLDIOLONEATP,bio/m01371c
bio/7KILTCHOLATP,bio/m01371c
bio/ACCOAL,bio/m01371c
bio/PPNCL3,bio/m01371c
bio/AK2LGCHOLABCt,bio/m01371c
bio/APRGSTRNABCt,bio/m01371c
bio/CE2510ABCt,bio/m01371c
bio/CE2537ABCt,bio/m01371c
bio/NRVNCABCt,bio/m01371c
bio/PAFABCt,bio/m01371c
bio/PCHLN225_HSABCt,bio/m01371c
bio/PCHOL2LINL_HSABCt,bio/m01371c
bio/PCHOL2OLE_HSABCt,bio/m01371c
bio/PCHOL2STE_HSABCt,bio/m01371c
bio/PCHOLAR_HSABCt,bio/m01371c
bio/PCHOLDOC_HSABCt,bio/m01371c
bio/PCHOLEIC_HSABCt,bio/m01371c
bio/PCHOLET_HSABCt,bio/m01371c
bio/PCHOLHEP_HSABCt,bio/m01371c
bio/PCHOLLINL_HSABCt,bio/m01371c
bio/PCHOLMYR_HsABCt,bio/m01371c
bio/PCHOLN15_HSABCt,bio/m01371c
bio/PCHOLN183_HSABCt,bio/m01371c
bio/PCHOLN1836_HSABCt,bio/m01371c
bio/PCHOLN19_HSABCt,bio/m01371c
bio/PCHOLN201_HSABCt,bio/m01371c
bio/PCHOLN203_HSABCt,bio/m01371c
bio/PCHOLN204_HSABCt,bio/m01371c
bio/PCHOLN205_HSABCt,bio/m01371c
bio/PCHOLN224_HSABCt,bio/m01371c
bio/PCHOLN225_HSABCt,bio/m01371c
bio/PCHOLN2254_HSABCt,bio/m01371c
