id,name,compartment,chemicalFormula,bigg.metabolite,chebi,chembl,kegg.compound,metanetx.chemical,hmdb,pubchem.compound,lipidmaps,metabolite_dcid
m01690c,"""DHAP""",dcs:CellularCompartmentCytosol,C3H5O6P,dhap,"""CHEBI:16108""",CHEMBL1161998,C00111,MNXM77,HMDB0001473,668,,bio/CHEMBL1161998
m01690m,"""DHAP""",dcs:CellularCompartmentMitochondria,C3H5O6P,dhap,"""CHEBI:16108""",CHEMBL1161998,C00111,MNXM77,HMDB0001473,668,,bio/CHEMBL1161998
m01690p,"""DHAP""",dcs:CellularCompartmentPeroxisome,C3H5O6P,dhap,"""CHEBI:16108""",CHEMBL1161998,C00111,MNXM77,HMDB0001473,668,,bio/CHEMBL1161998
m01690s,"""DHAP""",dcs:CellularCompartmentExtracellular,C3H5O6P,dhap,"""CHEBI:16108""",CHEMBL1161998,C00111,MNXM77,HMDB0001473,668,,bio/CHEMBL1161998
m01691c,"""dichloroacetate""",dcs:CellularCompartmentCytosol,C2H1Cl2O2,,,CHEMBL13960,C11149,MNXM5126,,,,bio/CHEMBL13960
m01692c,"""dichloroacetyl chloride""",dcs:CellularCompartmentCytosol,C2HCl3O,,"""CHEBI:34688""",CHEMBL449486,C14867,MNXM7297,,,,bio/CHEMBL449486
m01693c,"""dIDP""",dcs:CellularCompartmentCytosol,C10H11N4O10P2,didp,"""CHEBI:28823""",,C01344,MNXM2174,HMDB0003536,439488,,bio/HMDB0003536
m01693m,"""dIDP""",dcs:CellularCompartmentMitochondria,C10H11N4O10P2,didp,"""CHEBI:28823""",,C01344,MNXM2174,HMDB0003536,439488,,bio/HMDB0003536
m01693n,"""dIDP""",dcs:CellularCompartmentNucleus,C10H11N4O10P2,didp,"""CHEBI:28823""",,C01344,MNXM2174,HMDB0003536,439488,,bio/HMDB0003536
m01694c,"""digalactosylceramide""",dcs:CellularCompartmentCytosol,C30H56NO12RCO,digalside_hs,,,C06126,MNXM90975,HMDB0004841,,LMSP0509AA00,bio/HMDB0004841
m01694g,"""digalactosylceramide""",dcs:CellularCompartmentGolgiApparatus,C30H56NO12RCO,digalside_hs,,,C06126,MNXM90975,HMDB0004841,,LMSP0509AA00,bio/HMDB0004841
m01694l,"""digalactosylceramide""",dcs:CellularCompartmentLysosome,C30H56NO12RCO,digalside_hs,,,C06126,MNXM90975,HMDB0004841,,LMSP0509AA00,bio/HMDB0004841
m01695c,"""digalactosylceramidesulfate""",dcs:CellularCompartmentCytosol,C30H55NO15SRCO,digalsgalside_hs,,,C06127,MNXM91564,,,,bio/MNXM91564
m01695g,"""digalactosylceramidesulfate""",dcs:CellularCompartmentGolgiApparatus,C30H55NO15SRCO,digalsgalside_hs,,,C06127,MNXM91564,,,,bio/MNXM91564
m01695s,"""digalactosylceramidesulfate""",dcs:CellularCompartmentExtracellular,C30H55NO15SRCO,digalsgalside_hs,,,C06127,MNXM91564,,,,bio/MNXM91564
m01696c,"""dihomo-gamma-linolenate""",dcs:CellularCompartmentCytosol,C20H33O2,dlnlcg,"""CHEBI:53486""",CHEMBL465183,C03242,MNXM147467,HMDB0002925,5280581,LMFA01030158,bio/CHEMBL465183
m01696l,"""dihomo-gamma-linolenate""",dcs:CellularCompartmentLysosome,C20H33O2,dlnlcg,"""CHEBI:53486""",CHEMBL465183,C03242,MNXM147467,HMDB0002925,5280581,LMFA01030158,bio/CHEMBL465183
m01696r,"""dihomo-gamma-linolenate""",dcs:CellularCompartmentEndoplasmicReticulum,C20H33O2,dlnlcg,"""CHEBI:53486""",CHEMBL465183,C03242,MNXM147467,HMDB0002925,5280581,LMFA01030158,bio/CHEMBL465183
m01696s,"""dihomo-gamma-linolenate""",dcs:CellularCompartmentExtracellular,C20H33O2,dlnlcg,"""CHEBI:53486""",CHEMBL465183,C03242,MNXM147467,HMDB0002925,5280581,LMFA01030158,bio/CHEMBL465183
m01697c,"""dihomo-gamma-linolenoyl-CoA""",dcs:CellularCompartmentCytosol,C41H64N7O17P3S,dlnlcgcoa,"""CHEBI:27979""",,C03595,MNXM1536,HMDB0060185,16061156,LMFA07050011,bio/HMDB0060185
m01697m,"""dihomo-gamma-linolenoyl-CoA""",dcs:CellularCompartmentMitochondria,C41H64N7O17P3S,dlnlcgcoa,"""CHEBI:27979""",,C03595,MNXM1536,HMDB0060185,16061156,LMFA07050011,bio/HMDB0060185
m01697r,"""dihomo-gamma-linolenoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C41H64N7O17P3S,dlnlcgcoa,"""CHEBI:27979""",,C03595,MNXM1536,HMDB0060185,16061156,LMFA07050011,bio/HMDB0060185
m01698c,"""dihydrobiopterin""",dcs:CellularCompartmentCytosol,C9H13N5O3,dhbpt,,,C00268,MNXM162257,HMDB0000038,1879,,bio/HMDB0000038
m01699c,"""dihydroceramide pool""",dcs:CellularCompartmentCytosol,C18H38NO2RCO,dhcrm_hs,"""CHEBI:31488""",,,MNXM8543,HMDB0006752,,LMSP02020000,bio/HMDB0006752
m01700c,"""dihydrofolate""",dcs:CellularCompartmentCytosol,C19H19N7O6,dhf,"""CHEBI:15633""",CHEMBL46294,C00415,MNXM281,HMDB0001056,98792,,bio/CHEMBL46294
m01700l,"""dihydrofolate""",dcs:CellularCompartmentLysosome,C19H19N7O6,dhf,"""CHEBI:15633""",CHEMBL46294,C00415,MNXM281,HMDB0001056,98792,,bio/CHEMBL46294
m01700m,"""dihydrofolate""",dcs:CellularCompartmentMitochondria,C19H19N7O6,dhf,"""CHEBI:15633""",CHEMBL46294,C00415,MNXM281,HMDB0001056,98792,,bio/CHEMBL46294
m01700s,"""dihydrofolate""",dcs:CellularCompartmentExtracellular,C19H19N7O6,dhf,"""CHEBI:15633""",CHEMBL46294,C00415,MNXM281,HMDB0001056,98792,,bio/CHEMBL46294
m01701c,"""dihydrolipoamide""",dcs:CellularCompartmentCytosol,C8H17NOS2,dhlam,"""CHEBI:17694""",,C00579,MNXM1277,HMDB0000985,663,,bio/HMDB0000985
m01701m,"""dihydrolipoamide""",dcs:CellularCompartmentMitochondria,C8H17NOS2,dhlam,"""CHEBI:17694""",,C00579,MNXM1277,HMDB0000985,663,,bio/HMDB0000985
m01702c,"""dihydrolipoate""",dcs:CellularCompartmentCytosol,C8H15O2S2,,"""CHEBI:18047""",,C02147,MNXM3585,HMDB0012210,421,LMFA01130003,bio/HMDB0012210
m01703m,"""dihydrolipoylprotein""",dcs:CellularCompartmentMitochondria,H2S2X,dhlpro,"""CHEBI:16194""",,C02972,MNXM1663,,,,bio/MNXM1663
m01704c,"""dihydroneopterin""",dcs:CellularCompartmentCytosol,C9H13N5O4,,"""CHEBI:17001""",,C04874,MNXM993,HMDB0002275,65074,,bio/HMDB0002275
m01704s,"""dihydroneopterin""",dcs:CellularCompartmentExtracellular,C9H13N5O4,,"""CHEBI:17001""",,C04874,MNXM993,HMDB0002275,65074,,bio/HMDB0002275
m01705c,"""dihydrothymine""",dcs:CellularCompartmentCytosol,C5H8N2O2,56dthm,"""CHEBI:27468""",,C00906,MNXM772,HMDB0000079,93556,,bio/HMDB0000079
m01705m,"""dihydrothymine""",dcs:CellularCompartmentMitochondria,C5H8N2O2,56dthm,"""CHEBI:27468""",,C00906,MNXM772,HMDB0000079,93556,,bio/HMDB0000079
