id,name,compartment,chemicalFormula,bigg.metabolite,chebi,chembl,kegg.compound,metanetx.chemical,hmdb,pubchem.compound,lipidmaps,metabolite_dcid
m00001c,"""(-)-trans-carveol""",dcs:CellularCompartmentCytosol,C10H16O,carveol,"""CHEBI:15389""",CHEMBL1907992,C00964,MNXM45735,HMDB0059608,,,bio/CHEMBL1907992
m00001s,"""(-)-trans-carveol""",dcs:CellularCompartmentExtracellular,C10H16O,carveol,"""CHEBI:15389""",CHEMBL1907992,C00964,MNXM45735,HMDB0059608,,,bio/CHEMBL1907992
m00002c,"""(+)-alpha-pinene""",dcs:CellularCompartmentCytosol,C10H16,appnn,"""CHEBI:36740""",CHEMBL442565,C09880,MNXM163755,HMDB0035658,6654,,bio/CHEMBL442565
m00002s,"""(+)-alpha-pinene""",dcs:CellularCompartmentExtracellular,C10H16,appnn,"""CHEBI:36740""",CHEMBL442565,C09880,MNXM163755,HMDB0035658,6654,,bio/CHEMBL442565
m00003c,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentCytosol,C17H31O2,,,,,MNXM150165,HMDB0060038,,LMFA01030283,bio/HMDB0060038
m00003l,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentLysosome,C17H31O2,,,,,MNXM150165,HMDB0060038,,LMFA01030283,bio/HMDB0060038
m00003r,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentEndoplasmicReticulum,C17H31O2,,,,,MNXM150165,HMDB0060038,,LMFA01030283,bio/HMDB0060038
m00003s,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentExtracellular,C17H31O2,,,,,MNXM150165,HMDB0060038,,LMFA01030283,bio/HMDB0060038
m00004c,"""(10Z)-heptadecenoyl-CoA""",dcs:CellularCompartmentCytosol,C38H62N7O17P3S,,,,,MNXM148601,HMDB0062213,,,bio/HMDB0062213
m00004m,"""(10Z)-heptadecenoyl-CoA""",dcs:CellularCompartmentMitochondria,C38H62N7O17P3S,,,,,MNXM148601,HMDB0062213,,,bio/HMDB0062213
m00004r,"""(10Z)-heptadecenoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C38H62N7O17P3S,,,,,MNXM148601,HMDB0062213,,,bio/HMDB0062213
m00005c,"""(11R)-HPETE""",dcs:CellularCompartmentCytosol,C20H31O4,,,,,MNXM9658,HMDB0004696,,LMFA03060071,bio/HMDB0004696
m00006c,"""(11Z)-docosenoyl-CoA""",dcs:CellularCompartmentCytosol,C43H72N7O17P3S,,,,,,,,,bio/(11Z)-docosenoyl-CoA
m00006m,"""(11Z)-docosenoyl-CoA""",dcs:CellularCompartmentMitochondria,C43H72N7O17P3S,,,,,,,,,bio/(11Z)-docosenoyl-CoA
m00006r,"""(11Z)-docosenoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C43H72N7O17P3S,,,,,,,,,bio/(11Z)-docosenoyl-CoA
m00007c,"""(11Z)-eicosenoyl-CoA""",dcs:CellularCompartmentCytosol,C41H68N7O17P3S,,,,,MNXM11852,HMDB0062214,,LMFA07050056,bio/HMDB0062214
m00007m,"""(11Z)-eicosenoyl-CoA""",dcs:CellularCompartmentMitochondria,C41H68N7O17P3S,,,,,MNXM11852,HMDB0062214,,LMFA07050056,bio/HMDB0062214
m00007p,"""(11Z)-eicosenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C41H68N7O17P3S,,,,,MNXM11852,HMDB0062214,,LMFA07050056,bio/HMDB0062214
m00007r,"""(11Z)-eicosenoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C41H68N7O17P3S,,,,,MNXM11852,HMDB0062214,,LMFA07050056,bio/HMDB0062214
m00008c,"""(11Z,14Z)-eicosadienoic acid""",dcs:CellularCompartmentCytosol,C20H35O2,,,CHEMBL464983,C16525,MNXM11473,HMDB0005060,,LMFA01030130,bio/CHEMBL464983
m00008l,"""(11Z,14Z)-eicosadienoic acid""",dcs:CellularCompartmentLysosome,C20H35O2,,,CHEMBL464983,C16525,MNXM11473,HMDB0005060,,LMFA01030130,bio/CHEMBL464983
m00008r,"""(11Z,14Z)-eicosadienoic acid""",dcs:CellularCompartmentEndoplasmicReticulum,C20H35O2,,,CHEMBL464983,C16525,MNXM11473,HMDB0005060,,LMFA01030130,bio/CHEMBL464983
m00008s,"""(11Z,14Z)-eicosadienoic acid""",dcs:CellularCompartmentExtracellular,C20H35O2,,,CHEMBL464983,C16525,MNXM11473,HMDB0005060,,LMFA01030130,bio/CHEMBL464983
m00009c,"""(11Z,14Z)-eicosadienoyl-CoA""",dcs:CellularCompartmentCytosol,C41H66N7O17P3S,,,,C16180,MNXM167435,HMDB0062215,,LMFA07050036,bio/HMDB0062215
m00009m,"""(11Z,14Z)-eicosadienoyl-CoA""",dcs:CellularCompartmentMitochondria,C41H66N7O17P3S,,,,C16180,MNXM167435,HMDB0062215,,LMFA07050036,bio/HMDB0062215
m00009r,"""(11Z,14Z)-eicosadienoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C41H66N7O17P3S,,,,C16180,MNXM167435,HMDB0062215,,LMFA07050036,bio/HMDB0062215
m00010c,"""(11Z,14Z,17Z)-eicosatrienoic acid""",dcs:CellularCompartmentCytosol,C20H33O2,,"""CHEBI:53460""",CHEMBL453991,C16522,MNXM8271,HMDB0060039,,LMFA01030378,bio/CHEMBL453991
m00010l,"""(11Z,14Z,17Z)-eicosatrienoic acid""",dcs:CellularCompartmentLysosome,C20H33O2,,"""CHEBI:53460""",CHEMBL453991,C16522,MNXM8271,HMDB0060039,,LMFA01030378,bio/CHEMBL453991
m00010r,"""(11Z,14Z,17Z)-eicosatrienoic acid""",dcs:CellularCompartmentEndoplasmicReticulum,C20H33O2,,"""CHEBI:53460""",CHEMBL453991,C16522,MNXM8271,HMDB0060039,,LMFA01030378,bio/CHEMBL453991
m00010s,"""(11Z,14Z,17Z)-eicosatrienoic acid""",dcs:CellularCompartmentExtracellular,C20H33O2,,"""CHEBI:53460""",CHEMBL453991,C16522,MNXM8271,HMDB0060039,,LMFA01030378,bio/CHEMBL453991
m00011c,"""(11Z,14Z,17Z)-eicosatrienoylcarnitine""",dcs:CellularCompartmentCytosol,C27H47NO4,,,,,,,,,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine
m00011m,"""(11Z,14Z,17Z)-eicosatrienoylcarnitine""",dcs:CellularCompartmentMitochondria,C27H47NO4,,,,,,,,,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine
m00011r,"""(11Z,14Z,17Z)-eicosatrienoylcarnitine""",dcs:CellularCompartmentEndoplasmicReticulum,C27H47NO4,,,,,,,,,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine
m00012c,"""(11Z,14Z,17Z)-eicosatrienoyl-CoA""",dcs:CellularCompartmentCytosol,C41H64N7O17P3S,,,,C16179,MNXM162872,HMDB0062216,,LMFA07050044,bio/HMDB0062216
m00012m,"""(11Z,14Z,17Z)-eicosatrienoyl-CoA""",dcs:CellularCompartmentMitochondria,C41H64N7O17P3S,,,,C16179,MNXM162872,HMDB0062216,,LMFA07050044,bio/HMDB0062216
m00012r,"""(11Z,14Z,17Z)-eicosatrienoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C41H64N7O17P3S,,,,C16179,MNXM162872,HMDB0062216,,LMFA07050044,bio/HMDB0062216
m00013c,"""(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate""",dcs:CellularCompartmentCytosol,C20H31O5,prostg1,"""CHEBI:15548""",,C04654,MNXM168925,HMDB0001320,5280710,,bio/HMDB0001320
m00014p,"""(13E)-tetranor-16-carboxy-LTE4""",dcs:CellularCompartmentPeroxisome,C19H25NO7S,,,,,MNXM150224,HMDB0012575,53481472,,bio/HMDB0012575
m00015p,"""(13E)-tetranor-16-oxo-16-CoA-LTE4""",dcs:CellularCompartmentPeroxisome,C40H56N8O22P3S2,,,,,MNXM33354,HMDB0012576,53481473,,bio/HMDB0012576
m00016c,"""(13Z)-docosenoyl-CoA""",dcs:CellularCompartmentCytosol,C43H72N7O17P3S,,,,C16531,MNXM11430,HMDB0062217,,LMFA07050057,bio/HMDB0062217
m00016m,"""(13Z)-docosenoyl-CoA""",dcs:CellularCompartmentMitochondria,C43H72N7O17P3S,,,,C16531,MNXM11430,HMDB0062217,,LMFA07050057,bio/HMDB0062217
m00016p,"""(13Z)-docosenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C43H72N7O17P3S,,,,C16531,MNXM11430,HMDB0062217,,LMFA07050057,bio/HMDB0062217
m00016r,"""(13Z)-docosenoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C43H72N7O17P3S,,,,C16531,MNXM11430,HMDB0062217,,LMFA07050057,bio/HMDB0062217
m00017c,"""(13Z)-eicosenoic acid""",dcs:CellularCompartmentCytosol,C20H37O2,,,,,MNXM24465,,,LMFA01030367,bio/MNXM24465
m00017l,"""(13Z)-eicosenoic acid""",dcs:CellularCompartmentLysosome,C20H37O2,,,,,MNXM24465,,,LMFA01030367,bio/MNXM24465
m00017r,"""(13Z)-eicosenoic acid""",dcs:CellularCompartmentEndoplasmicReticulum,C20H37O2,,,,,MNXM24465,,,LMFA01030367,bio/MNXM24465
m00017s,"""(13Z)-eicosenoic acid""",dcs:CellularCompartmentExtracellular,C20H37O2,,,,,MNXM24465,,,LMFA01030367,bio/MNXM24465
m00018c,"""(13Z)-eicosenoyl-CoA""",dcs:CellularCompartmentCytosol,C41H68N7O17P3S,,,,,MNXM146661,,,,bio/MNXM146661
m00018m,"""(13Z)-eicosenoyl-CoA""",dcs:CellularCompartmentMitochondria,C41H68N7O17P3S,,,,,MNXM146661,,,,bio/MNXM146661
m00018p,"""(13Z)-eicosenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C41H68N7O17P3S,,,,,MNXM146661,,,,bio/MNXM146661
m00018r,"""(13Z)-eicosenoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C41H68N7O17P3S,,,,,MNXM146661,,,,bio/MNXM146661
m00019c,"""(13Z)-octadecenoic acid""",dcs:CellularCompartmentCytosol,C18H33O2,,,,,MNXM29438,,,LMFA01030290,bio/MNXM29438
m00019l,"""(13Z)-octadecenoic acid""",dcs:CellularCompartmentLysosome,C18H33O2,,,,,MNXM29438,,,LMFA01030290,bio/MNXM29438
m00019r,"""(13Z)-octadecenoic acid""",dcs:CellularCompartmentEndoplasmicReticulum,C18H33O2,,,,,MNXM29438,,,LMFA01030290,bio/MNXM29438
m00019s,"""(13Z)-octadecenoic acid""",dcs:CellularCompartmentExtracellular,C18H33O2,,,,,MNXM29438,,,LMFA01030290,bio/MNXM29438
m00020c,"""(13Z)-octadecenoyl-CoA""",dcs:CellularCompartmentCytosol,C39H64N7O17P3S,,,,,,,,,bio/(13Z)-octadecenoyl-CoA
m00020m,"""(13Z)-octadecenoyl-CoA""",dcs:CellularCompartmentMitochondria,C39H64N7O17P3S,,,,,,,,,bio/(13Z)-octadecenoyl-CoA
m00020r,"""(13Z)-octadecenoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C39H64N7O17P3S,,,,,,,,,bio/(13Z)-octadecenoyl-CoA
m00021c,"""(13Z,16Z)-docosadienoic acid""",dcs:CellularCompartmentCytosol,C22H39O2,,,CHEMBL4240217,C16533,MNXM9691,HMDB0061714,,LMFA01030405,bio/CHEMBL4240217
m00021l,"""(13Z,16Z)-docosadienoic acid""",dcs:CellularCompartmentLysosome,C22H39O2,,,CHEMBL4240217,C16533,MNXM9691,HMDB0061714,,LMFA01030405,bio/CHEMBL4240217
m00021r,"""(13Z,16Z)-docosadienoic acid""",dcs:CellularCompartmentEndoplasmicReticulum,C22H39O2,,,CHEMBL4240217,C16533,MNXM9691,HMDB0061714,,LMFA01030405,bio/CHEMBL4240217
m00021s,"""(13Z,16Z)-docosadienoic acid""",dcs:CellularCompartmentExtracellular,C22H39O2,,,CHEMBL4240217,C16533,MNXM9691,HMDB0061714,,LMFA01030405,bio/CHEMBL4240217
m00022c,"""(13Z,16Z)-docosadienoylcarnitine""",dcs:CellularCompartmentCytosol,C29H52NO4,,,,,MNXM149276,,,,bio/MNXM149276
m00022m,"""(13Z,16Z)-docosadienoylcarnitine""",dcs:CellularCompartmentMitochondria,C29H52NO4,,,,,MNXM149276,,,,bio/MNXM149276
m00022r,"""(13Z,16Z)-docosadienoylcarnitine""",dcs:CellularCompartmentEndoplasmicReticulum,C29H52NO4,,,,,MNXM149276,,,,bio/MNXM149276
m00023c,"""(13Z,16Z)-docosadienoyl-CoA""",dcs:CellularCompartmentCytosol,C43H70N7O17P3S,,,,C16645,MNXM9382,HMDB0062220,,LMFA07050037,bio/HMDB0062220
m00023m,"""(13Z,16Z)-docosadienoyl-CoA""",dcs:CellularCompartmentMitochondria,C43H70N7O17P3S,,,,C16645,MNXM9382,HMDB0062220,,LMFA07050037,bio/HMDB0062220
m00023r,"""(13Z,16Z)-docosadienoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C43H70N7O17P3S,,,,C16645,MNXM9382,HMDB0062220,,LMFA07050037,bio/HMDB0062220
m00024c,"""(15Z)-tetracosenoylcarnitine""",dcs:CellularCompartmentCytosol,C31H59NO4,nrvnccrn,,,,MNXM8942,,,,bio/MNXM8942
m00024r,"""(15Z)-tetracosenoylcarnitine""",dcs:CellularCompartmentEndoplasmicReticulum,C31H59NO4,nrvnccrn,,,,MNXM8942,,,,bio/MNXM8942
m00025c,"""(15Z)-tetracosenoyl-CoA""",dcs:CellularCompartmentCytosol,C45H76N7O17P3S,nrvnccoa,,,C16532,MNXM13000,HMDB0062221,24892792,LMFA07050058,bio/HMDB0062221
m00025p,"""(15Z)-tetracosenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C45H76N7O17P3S,nrvnccoa,,,C16532,MNXM13000,HMDB0062221,24892792,LMFA07050058,bio/HMDB0062221
m00025r,"""(15Z)-tetracosenoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C45H76N7O17P3S,nrvnccoa,,,C16532,MNXM13000,HMDB0062221,24892792,LMFA07050058,bio/HMDB0062221
m00026m,"""(18E)-20-oxo-20-CoA-LTB4""",dcs:CellularCompartmentMitochondria,C41H57N7O21P3S,,,,,MNXM33779,HMDB0012609,,,bio/HMDB0012609
m00026p,"""(18E)-20-oxo-20-CoA-LTB4""",dcs:CellularCompartmentPeroxisome,C41H57N7O21P3S,,,,,MNXM33779,HMDB0012609,,,bio/HMDB0012609
m00027p,"""(18E)-20-oxo-20-CoA-LTE4""",dcs:CellularCompartmentPeroxisome,C44H62N8O22P3S2,,,,,MNXM33780,HMDB0012610,53481494,,bio/HMDB0012610
m00028c,"""(18R)-HEPE""",dcs:CellularCompartmentCytosol,C20H29O3,,"""CHEBI:81563""",,,MNXM33782,HMDB0012611,16061126,,bio/HMDB0012611
m00029c,"""(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid""",dcs:CellularCompartmentCytosol,C20H29O3,,"""CHEBI:81563""",,,MNXM33782,HMDB0062222,16061126,LMFA03070025,bio/HMDB0062222
m00030c,"""(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol""",dcs:CellularCompartmentCytosol,C20H18O3,,,,C19559,MNXM13488,HMDB0062223,,,bio/HMDB0062223
m00031c,"""(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene""",dcs:CellularCompartmentCytosol,C20H23N3O7S,,,,C14791,MNXM6499,HMDB0060300,,,bio/HMDB0060300
m00032c,"""(1R,2S)-naphthalene 1,2-oxide""",dcs:CellularCompartmentCytosol,C10H8O,onpthl,"""CHEBI:33998""",,C14786,MNXM12425,HMDB0006215,108063,,bio/HMDB0006215
m00032s,"""(1R,2S)-naphthalene 1,2-oxide""",dcs:CellularCompartmentExtracellular,C10H8O,onpthl,"""CHEBI:33998""",,C14786,MNXM12425,HMDB0006215,108063,,bio/HMDB0006215
m00033c,"""(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene""",dcs:CellularCompartmentCytosol,C20H23N3O7S,,,,C14792,MNXM6503,HMDB0060302,,,bio/HMDB0060302
m00034c,"""(1S,2R)-naphthalene 1,2-oxide""",dcs:CellularCompartmentCytosol,C10H8O,,,,C14787,MNXM2885,HMDB0060301,,,bio/HMDB0060301
m00035c,"""(24R)-24,25-dihydroxycalciol""",dcs:CellularCompartmentCytosol,C27H44O3,2425dhvitd3,"""CHEBI:28818""",CHEMBL1590076,C07712,MNXM6763,HMDB0060133,,LMST03020273,bio/CHEMBL1590076
m00035m,"""(24R)-24,25-dihydroxycalciol""",dcs:CellularCompartmentMitochondria,C27H44O3,2425dhvitd3,"""CHEBI:28818""",CHEMBL1590076,C07712,MNXM6763,HMDB0060133,,LMST03020273,bio/CHEMBL1590076
m00035s,"""(24R)-24,25-dihydroxycalciol""",dcs:CellularCompartmentExtracellular,C27H44O3,2425dhvitd3,"""CHEBI:28818""",CHEMBL1590076,C07712,MNXM6763,HMDB0060133,,LMST03020273,bio/CHEMBL1590076
m00036m,"""(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA""",dcs:CellularCompartmentMitochondria,C48H76N7O21P3S,,"""CHEBI:52050""",,C05450,MNXM732,HMDB0062224,46224537,,bio/HMDB0062224
m00036p,"""(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA""",dcs:CellularCompartmentPeroxisome,C48H76N7O21P3S,,"""CHEBI:52050""",,C05450,MNXM732,HMDB0062224,46224537,,bio/HMDB0062224
m00037p,"""(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA""",dcs:CellularCompartmentPeroxisome,C48H76N7O20P3S,thcholoylcoa,"""CHEBI:27403""",,C05448,MNXM165175,HMDB0002178,46224536,,bio/HMDB0002178
m00038c,"""(2E)-decenoyl-[ACP]""",dcs:CellularCompartmentCytosol,C21H37N2O8PRS,,,,C05754,MNXM28221,HMDB0062225,,,bio/HMDB0062225
m00039m,"""(2E)-decenoyl-CoA""",dcs:CellularCompartmentMitochondria,C31H48N7O17P3S,dc2coa,"""CHEBI:10723""",,C05275,MNXM580,HMDB0003948,24883423,LMFA07050023,bio/HMDB0003948
m00039p,"""(2E)-decenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C31H48N7O17P3S,dc2coa,"""CHEBI:10723""",,C05275,MNXM580,HMDB0003948,24883423,LMFA07050023,bio/HMDB0003948
m00040c,"""(2E)-docosenoyl-CoA""",dcs:CellularCompartmentCytosol,C43H72N7O17P3S,,,,,MNXM97615,HMDB0062226,,,bio/HMDB0062226
m00040m,"""(2E)-docosenoyl-CoA""",dcs:CellularCompartmentMitochondria,C43H72N7O17P3S,,,,,MNXM97615,HMDB0062226,,,bio/HMDB0062226
m00040p,"""(2E)-docosenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C43H72N7O17P3S,,,,,MNXM97615,HMDB0062226,,,bio/HMDB0062226
m00041c,"""(2E)-dodecenoyl-[ACP]""",dcs:CellularCompartmentCytosol,C23H41N2O8PRS,,,,C05758,MNXM23842,,,,bio/MNXM23842
m00042m,"""(2E)-dodecenoyl-CoA""",dcs:CellularCompartmentMitochondria,C33H52N7O17P3S,dd2coa,"""CHEBI:15471""",,C03221,MNXM642,HMDB0003712,45266564,LMFA07050010,bio/HMDB0003712
m00042p,"""(2E)-dodecenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C33H52N7O17P3S,dd2coa,"""CHEBI:15471""",,C03221,MNXM642,HMDB0003712,45266564,LMFA07050010,bio/HMDB0003712
m00043c,"""(2E)-eicosenoyl-CoA""",dcs:CellularCompartmentCytosol,C41H68N7O17P3S,,,,,MNXM163905,HMDB0062227,,,bio/HMDB0062227
m00043m,"""(2E)-eicosenoyl-CoA""",dcs:CellularCompartmentMitochondria,C41H68N7O17P3S,,,,,MNXM163905,HMDB0062227,,,bio/HMDB0062227
m00043p,"""(2E)-eicosenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C41H68N7O17P3S,,,,,MNXM163905,HMDB0062227,,,bio/HMDB0062227
m00044c,"""(2E)-heneicosenoyl-CoA""",dcs:CellularCompartmentCytosol,C42H70N7O17P3S,,,,,,,,,bio/(2E)-heneicosenoyl-CoA
m00044m,"""(2E)-heneicosenoyl-CoA""",dcs:CellularCompartmentMitochondria,C42H70N7O17P3S,,,,,,,,,bio/(2E)-heneicosenoyl-CoA
m00045c,"""(2E)-heptadecenoyl-[ACP]""",dcs:CellularCompartmentCytosol,C28H51N2O8PRS,,,,,,,,,bio/(2E)-heptadecenoyl-[ACP]
m00046m,"""(2E)-heptadecenoyl-CoA""",dcs:CellularCompartmentMitochondria,C38H62N7O17P3S,,,,,MNXM170113,,,,bio/MNXM170113
m00047c,"""(2E)-heptenoyl-[ACP]""",dcs:CellularCompartmentCytosol,C18H31N2O8PRS,,,,,,,,,bio/(2E)-heptenoyl-[ACP]
m00048m,"""(2E)-heptenoyl-CoA""",dcs:CellularCompartmentMitochondria,C28H42N7O17P3S,,,,,,,,,bio/(2E)-heptenoyl-CoA
m00049c,"""(2E)-hexacosenoyl-CoA""",dcs:CellularCompartmentCytosol,C47H80N7O17P3S,,,,,MNXM114303,HMDB0062228,,,bio/HMDB0062228
m00049p,"""(2E)-hexacosenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C47H80N7O17P3S,,,,,MNXM114303,HMDB0062228,,,bio/HMDB0062228
m00050c,"""(2E)-hexadecenoyl-[ACP]""",dcs:CellularCompartmentCytosol,C27H49N2O8PRS,,,,C05763,MNXM29072,,,,bio/MNXM29072
m00051m,"""(2E)-hexadecenoyl-CoA""",dcs:CellularCompartmentMitochondria,C37H60N7O17P3S,hdd2coa,"""CHEBI:28935""",,C05272,MNXM581,HMDB0003945,46173176,LMFA07050020,bio/HMDB0003945
m00051p,"""(2E)-hexadecenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C37H60N7O17P3S,hdd2coa,"""CHEBI:28935""",,C05272,MNXM581,HMDB0003945,46173176,LMFA07050020,bio/HMDB0003945
m00052c,"""(2E)-hexenoyl-[ACP]""",dcs:CellularCompartmentCytosol,C17H29N2O8PRS,,,,C05748,MNXM24502,,,,bio/MNXM24502
m00053m,"""(2E)-hexenoyl-CoA""",dcs:CellularCompartmentMitochondria,C27H40N7O17P3S,,"""CHEBI:28706""",,C05271,MNXM753,HMDB0003944,5280765,LMFA07050019,bio/HMDB0003944
m00053p,"""(2E)-hexenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C27H40N7O17P3S,,"""CHEBI:28706""",,C05271,MNXM753,HMDB0003944,5280765,LMFA07050019,bio/HMDB0003944
m00054c,"""(2E)-nonadecenoyl-CoA""",dcs:CellularCompartmentCytosol,C40H66N7O17P3S,,,,,,,,,bio/(2E)-nonadecenoyl-CoA
m00054m,"""(2E)-nonadecenoyl-CoA""",dcs:CellularCompartmentMitochondria,C40H66N7O17P3S,,,,,,,,,bio/(2E)-nonadecenoyl-CoA
m00055c,"""(2E)-nonenoyl-[ACP]""",dcs:CellularCompartmentCytosol,C20H35N2O8PRS,,,,,,,,,bio/(2E)-nonenoyl-[ACP]
m00056m,"""(2E)-nonenoyl-CoA""",dcs:CellularCompartmentMitochondria,C30H46N7O17P3S,,,,,MNXM170116,,,,bio/MNXM170116
m00057c,"""(2E)-octadecenoyl-CoA""",dcs:CellularCompartmentCytosol,C39H64N7O17P3S,od2coa,"""CHEBI:50570""",,C16218,MNXM954,HMDB0062633,53477850,LMFA07050055,bio/HMDB0062633
m00057m,"""(2E)-octadecenoyl-CoA""",dcs:CellularCompartmentMitochondria,C39H64N7O17P3S,od2coa,"""CHEBI:50570""",,C16218,MNXM954,HMDB0062633,53477850,LMFA07050055,bio/HMDB0062633
m00057p,"""(2E)-octadecenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C39H64N7O17P3S,od2coa,"""CHEBI:50570""",,C16218,MNXM954,HMDB0062633,53477850,LMFA07050055,bio/HMDB0062633
m00058c,"""(2E)-octenoyl-[ACP]""",dcs:CellularCompartmentCytosol,C19H33N2O8PRS,,,,C05751,MNXM23766,,,,bio/MNXM23766
m00059m,"""(2E)-octenoyl-CoA""",dcs:CellularCompartmentMitochondria,C29H44N7O17P3S,,"""CHEBI:27537""",,C05276,MNXM784,HMDB0003949,46173358,LMFA07050024,bio/HMDB0003949
m00059p,"""(2E)-octenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C29H44N7O17P3S,,"""CHEBI:27537""",,C05276,MNXM784,HMDB0003949,46173358,LMFA07050024,bio/HMDB0003949
m00060c,"""(2E)-pentadecenoyl-[ACP]""",dcs:CellularCompartmentCytosol,C26H47N2O8PRS,,,,,,,,,bio/(2E)-pentadecenoyl-[ACP]
m00061m,"""(2E)-pentadecenoyl-CoA""",dcs:CellularCompartmentMitochondria,C36H58N7O17P3S,,,,,MNXM146674,HMDB0062229,,,bio/HMDB0062229
m00062c,"""(2E)-pentenoyl-[ACP]""",dcs:CellularCompartmentCytosol,C16H27N2O8PRS,,,,,,,,,bio/(2E)-pentenoyl-[ACP]
m00063m,"""(2E)-pentenoyl-CoA""",dcs:CellularCompartmentMitochondria,C26H38N7O17P3S,,,,,MNXM20340,HMDB0062230,,,bio/HMDB0062230
m00064c,"""(2E)-tetracosenoyl-CoA""",dcs:CellularCompartmentCytosol,C45H76N7O17P3S,,,,,MNXM165192,HMDB0062231,,,bio/HMDB0062231
m00064p,"""(2E)-tetracosenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C45H76N7O17P3S,,,,,MNXM165192,HMDB0062231,,,bio/HMDB0062231
m00065c,"""(2E)-tetradecenoyl-[ACP]""",dcs:CellularCompartmentCytosol,C25H45N2O8PRS,,,,C05760,MNXM24297,,,,bio/MNXM24297
m00066m,"""(2E)-tetradecenoyl-CoA""",dcs:CellularCompartmentMitochondria,C35H56N7O17P3S,,"""CHEBI:27721""",,C05273,MNXM654,HMDB0003946,,LMFA07050021,bio/HMDB0003946
m00066p,"""(2E)-tetradecenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C35H56N7O17P3S,,"""CHEBI:27721""",,C05273,MNXM654,HMDB0003946,,LMFA07050021,bio/HMDB0003946
m00067c,"""(2E)-tricosenoyl-CoA""",dcs:CellularCompartmentCytosol,C44H74N7O17P3S,,,,,MNXM163027,HMDB0062232,,,bio/HMDB0062232
m00068c,"""(2E)-tridecenoyl-[ACP]""",dcs:CellularCompartmentCytosol,C24H43N2O8PRS,,,,,,,,,bio/(2E)-tridecenoyl-[ACP]
m00069m,"""(2E)-tridecenoyl-CoA""",dcs:CellularCompartmentMitochondria,C34H54N7O17P3S,,,,,,,,,bio/(2E)-tridecenoyl-CoA
m00070c,"""(2E)-undecenoyl-[ACP]""",dcs:CellularCompartmentCytosol,C22H39N2O8PRS,,,,,,,,,bio/(2E)-undecenoyl-[ACP]
m00071m,"""(2E)-undecenoyl-CoA""",dcs:CellularCompartmentMitochondria,C32H50N7O17P3S,,,,,MNXM170117,,,,bio/MNXM170117
m00072m,"""(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA""",dcs:CellularCompartmentMitochondria,C37H54N7O17P3S,,,,,,,,,bio/(2E_4Z_7Z_10Z)-hexadecatetraenoyl-CoA
m00072p,"""(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C37H54N7O17P3S,,,,,,,,,bio/(2E_4Z_7Z_10Z)-hexadecatetraenoyl-CoA
