reactionID,metabolic_compartment_dcid
bio/HMR_0750,bio/m02039c
bio/HMR_0760,bio/m02039c
bio/HMR_0761,bio/m02039c
bio/HMR_0773,bio/m02039c
bio/HMR_0795,bio/m02039c
bio/HMR_8219,bio/m02039c
bio/HMR_8246,bio/m02039c
bio/HMR_0456,bio/m02039c
bio/HMR_0673,bio/m02039c
bio/HMR_0674,bio/m02039c
bio/HMR_0675,bio/m02039c
bio/HMR_0676,bio/m02039c
bio/HMR_0677,bio/m02039c
bio/HMR_0678,bio/m02039c
bio/HMR_4296,bio/m02039c
bio/HMR_7599,bio/m02039c
bio/HMR_0450,bio/m02039c
bio/HMR_0468,bio/m02039c
bio/HMR_0484,bio/m02039c
bio/HMR_0607,bio/m02039c
bio/HMR_0610,bio/m02039c
bio/HMR_0614,bio/m02039c
bio/HMR_0615,bio/m02039c
bio/HMR_0616,bio/m02039c
bio/HMR_0625,bio/m02039c
bio/HMR_0629,bio/m02039c
bio/HMR_0630,bio/m02039c
bio/HMR_0633,bio/m02039c
bio/HMR_0635,bio/m02039c
bio/HMR_0636,bio/m02039c
bio/HMR_0641,bio/m02039c
bio/HMR_0642,bio/m02039c
bio/HMR_0643,bio/m02039c
bio/HMR_0645,bio/m02039c
bio/HMR_0646,bio/m02039c
bio/HMR_0647,bio/m02039c
bio/HMR_0648,bio/m02039c
bio/HMR_0653,bio/m02039c
bio/HMR_0654,bio/m02039c
bio/HMR_0657,bio/m02039c
bio/HMR_0660,bio/m02039c
bio/HMR_4627,bio/m02039c
bio/HMR_4838,bio/m02039c
bio/HMR_7591,bio/m02039c
bio/HMR_7611,bio/m02039c
bio/HMR_8518,bio/m02039c
bio/HMR_8522,bio/m02039c
bio/HMR_9805,bio/m02039c
bio/HMR_0815,bio/m02039c
bio/HMR_0816,bio/m02039c
bio/HMR_0817,bio/m02039c
bio/HMR_0820,bio/m02039c
bio/HMR_0822,bio/m02039c
bio/HMR_0823,bio/m02039c
bio/HMR_0824,bio/m02039c
bio/HMR_0827,bio/m02039c
bio/HMR_0829,bio/m02039c
bio/HMR_0837,bio/m02039c
bio/HMR_0839,bio/m02039c
bio/HMR_0840,bio/m02039c
bio/HMR_0841,bio/m02039c
bio/HMR_0842,bio/m02039c
bio/HMR_0843,bio/m02039c
bio/HMR_0844,bio/m02039c
bio/HMR_0846,bio/m02039c
bio/HMR_0848,bio/m02039c
bio/HMR_0849,bio/m02039c
bio/HMR_0851,bio/m02039c
bio/HMR_0852,bio/m02039c
bio/HMR_0853,bio/m02039c
bio/HMR_0854,bio/m02039c
bio/HMR_0855,bio/m02039c
bio/HMR_0856,bio/m02039c
bio/HMR_0857,bio/m02039c
bio/HMR_0858,bio/m02039c
bio/HMR_0801,bio/m02039c
bio/HMR_0805,bio/m02039c
bio/HMR_0809,bio/m02039c
bio/HMR_0810,bio/m02039c
bio/HMR_0813,bio/m02039c
bio/HMR_0814,bio/m02039c
bio/HMR_0859,bio/m02039c
bio/HMR_0860,bio/m02039c
bio/HMR_0862,bio/m02039c
bio/HMR_0863,bio/m02039c
bio/HMR_0864,bio/m02039c
bio/HMR_0865,bio/m02039c
bio/HMR_0866,bio/m02039c
bio/HMR_0867,bio/m02039c
bio/HMR_0868,bio/m02039c
bio/HMR_0870,bio/m02039c
bio/HMR_0871,bio/m02039c
bio/HMR_0875,bio/m02039c
bio/HMR_0876,bio/m02039c
bio/HMR_0877,bio/m02039c
bio/HMR_0878,bio/m02039c
bio/HMR_0879,bio/m02039c
bio/HMR_0880,bio/m02039c
bio/HMR_0881,bio/m02039c
bio/HMR_0882,bio/m02039c
bio/HMR_0883,bio/m02039c
bio/HMR_0884,bio/m02039c
bio/HMR_0885,bio/m02039c
bio/HMR_0886,bio/m02039c
bio/HMR_0887,bio/m02039c
bio/HMR_0888,bio/m02039c
bio/HMR_0889,bio/m02039c
bio/HMR_0890,bio/m02039c
bio/HMR_0891,bio/m02039c
bio/HMR_0892,bio/m02039c
bio/HMR_0893,bio/m02039c
bio/HMR_0894,bio/m02039c
bio/HMR_0895,bio/m02039c
bio/HMR_0896,bio/m02039c
bio/HMR_0897,bio/m02039c
bio/HMR_0898,bio/m02039c
bio/HMR_0899,bio/m02039c
bio/HMR_0900,bio/m02039c
bio/HMR_0901,bio/m02039c
bio/HMR_0902,bio/m02039c
bio/HMR_0903,bio/m02039c
bio/HMR_0904,bio/m02039c
bio/HMR_0905,bio/m02039c
bio/HMR_0906,bio/m02039c
bio/HMR_0907,bio/m02039c
bio/HMR_0908,bio/m02039c
bio/HMR_0909,bio/m02039c
bio/HMR_0910,bio/m02039c
bio/HMR_0911,bio/m02039c
bio/HMR_0912,bio/m02039c
bio/HMR_0794,bio/m02039c
bio/HMR_0915,bio/m02039c
bio/HMR_0919,bio/m02039c
bio/HMR_0924,bio/m02039c
bio/HMR_0926,bio/m02039c
bio/HMR_8379,bio/m02039c
bio/HMR_1979,bio/m02039c
bio/HMR_1996,bio/m02039c
bio/HMR_1325,bio/m02039c
bio/HMR_1326,bio/m02039c
bio/HMR_1327,bio/m02039c
bio/HMR_1337,bio/m02039c
bio/HMR_1341,bio/m02039c
bio/HMR_1342,bio/m02039c
bio/HMR_1343,bio/m02039c
bio/HMR_1347,bio/m02039c
bio/HMR_1355,bio/m02039c
bio/HMR_1358,bio/m02039c
bio/HMR_1361,bio/m02039c
bio/HMR_1363,bio/m02039c
bio/HMR_1364,bio/m02039c
bio/HMR_1383,bio/m02039c
bio/HMR_1389,bio/m02039c
bio/HMR_7600,bio/m02039c
bio/HMR_7603,bio/m02039c
bio/HMR_7604,bio/m02039c
bio/HMR_7605,bio/m02039c
bio/HMR_7606,bio/m02039c
bio/HMR_7610,bio/m02039c
bio/HMR_7615,bio/m02039c
bio/HMR_8643,bio/m02039c
bio/HMR_1608,bio/m02039c
bio/HMR_1611,bio/m02039c
bio/HMR_1622,bio/m02039c
bio/HMR_1659,bio/m02039c
bio/HMR_1660,bio/m02039c
bio/HMR_1692,bio/m02039c
bio/HMR_1696,bio/m02039c
bio/HMR_1718,bio/m02039c
bio/HMR_1729,bio/m02039c
bio/HMR_1730,bio/m02039c
bio/HMR_1738,bio/m02039c
bio/HMR_1766,bio/m02039c
bio/HMR_1830,bio/m02039c
bio/HMR_1843,bio/m02039c
bio/HMR_1846,bio/m02039c
bio/HMR_3908,bio/m02039c
bio/HMR_4679,bio/m02039c
bio/HMR_1847,bio/m02039c
bio/HMR_1853,bio/m02039c
bio/HMR_1868,bio/m02039c
bio/HMR_1870,bio/m02039c
bio/HMR_1872,bio/m02039c
bio/HMR_1874,bio/m02039c
bio/HMR_1896,bio/m02039c
bio/HMR_1405,bio/m02039c
bio/HMR_1410,bio/m02039c
bio/HMR_1411,bio/m02039c
bio/HMR_1412,bio/m02039c
bio/HMR_1413,bio/m02039c
bio/HMR_1414,bio/m02039c
bio/HMR_1416,bio/m02039c
bio/HMR_1417,bio/m02039c
bio/HMR_8317,bio/m02039c
bio/HMR_3992,bio/m02039c
bio/HMR_4228,bio/m02039c
bio/HMR_4253,bio/m02039c
bio/HMR_4255,bio/m02039c
bio/HMR_4259,bio/m02039c
bio/HMR_4260,bio/m02039c
bio/HMR_4262,bio/m02039c
bio/HMR_4263,bio/m02039c
bio/HMR_4265,bio/m02039c
bio/HMR_4269,bio/m02039c
bio/HMR_4662,bio/m02039c
bio/HMR_7143,bio/m02039c
